"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pcmtd1",2387.38525403227,0.438535469695935,0.218639022245285,2.00581620622085,0.0448758609335864,0.940787626548445
"Rrs1",2841.73089187841,-0.488723220429266,0.227172811185927,-2.15156316704484,0.0314317757329547,0.902611069813084
"Adhfe1",35.3302885844821,0.591333368889148,0.280436718455824,2.12193901973686,0.0338428592064805,NA
"Gm7690",402.156994145081,0.54685739211613,0.233974708482156,2.33692696286913,0.019442982092297,0.760600029342312
"Il17f",191.646901438949,1.06494304764042,0.275699240037331,3.8805691944249,0.000104212290602426,0.0862428779241399
"Efhc1",121.29491223523,0.642888916666618,0.280780915461016,2.29734464837083,0.0215991166750623,0.797595253781686
"Cnga3",1025.66452635288,0.639501645054085,0.231396063506814,2.76390772537971,0.00571136880479243,0.508839504440013
"Inpp4a",679.06862846098,0.495074185074131,0.245253493749836,2.01885996936686,0.0435017759057023,0.932776943986194
"Slc40a1",807.637156553635,-0.65483416434161,0.270135317231409,-2.42819017142388,0.015174384209052,0.72102516040287
"Gm8326",1784.79167719318,-0.481655243177083,0.234525590026519,-2.05403306029389,0.0399724920336941,0.927351849486965
"Gm8337",3543.39961602706,-0.44641524649157,0.224760182497404,-1.98635556786626,0.0469938565638324,0.944668086521791
"Nemp2",852.512893319557,0.785632518913603,0.221769129860698,3.54233276157976,0.000396604818371689,0.162538569689177
"Hspd1",24517.5732776247,-0.428915504218255,0.211724975974556,-2.025918503928,0.0427731367023105,0.9327517320677
"Kansl1l",1278.29427255653,0.508542169341524,0.252154823821864,2.01745269809969,0.0436482925806334,0.933620244988703
"Apol7d",29.4836407826721,0.581375990310408,0.276970595762713,2.12063565221286,0.0339524754434878,NA
"Stk36",325.340733388641,0.500119792807156,0.252681954844365,1.97941555972742,0.0477692380726642,0.948895752305339
"Cyp27a1",119.557246849895,0.667536328667343,0.271498063921907,2.4596833140592,0.0139059660751503,0.696728848147494
"Des",641.301958351803,0.673601622859867,0.22558551559586,2.98569592365051,0.00282933828391486,0.373390674601337
"Chpf",1123.49762790222,-0.505764794408532,0.215113662160184,-2.35122306245831,0.018711812734232,0.748153039395768
"Ecel1",54.2465766536984,0.687913623179906,0.282170047666983,2.44883943432303,0.0143317320895329,0.70552577820935
"Glrp1",22.6522706996714,0.492555174901028,0.249227340802798,2.07031328740011,0.0384230160829945,NA
"Kif1a",906.839773838393,0.583787196554908,0.265278425806507,2.20274034306644,0.0276130550548201,0.865469796444632
"Gm17847",244.085822348065,-0.588173969710494,0.269190524661686,-2.25647042348218,0.0240411855660395,0.821049326123902
"Nifk",3630.35022317813,-0.502293591349853,0.237387809185326,-2.11632585811928,0.0343171029854583,0.904787381237053
"Sox13",1713.24220982849,-0.475944764120125,0.219419023621274,-2.16922910365424,0.0300652946219922,0.892248161580165
"Gm15850",6.50498723493978,0.359893260970851,0.195318184175831,2.09870854595866,0.0358426008711255,NA
"Kif21b",983.814570074687,0.85209401850014,0.227454950554259,3.74640702520046,0.000179385445953015,0.122610695321171
"Ptgs2",131.250587184801,-0.516406277184272,0.26892010291171,-1.96676695645741,0.0492100836850689,0.951795173645027
"E330020D12Rik",349.930162763343,0.481552956656121,0.240648878431478,2.00084952878453,0.0454086080334163,0.941070271553528
"Npl",1239.40424303507,-0.516800435514815,0.245613244241626,-2.10467622990518,0.0353195009740308,0.910365690986301
"Sft2d2",1557.85723816477,0.460003503195738,0.216504026316181,2.12469944375136,0.0336116999126167,0.903834680496197
"Gm25911",18.0248945595004,-0.545119470246979,0.254317827777479,-2.23074441615613,0.0256980636973979,NA
"Cfap126",76.5657715459138,0.554103617279868,0.27700099635707,2.00114203787393,0.0453770851942282,0.941070271553528
"Pea15a",957.848729752138,-0.533692354353697,0.250371206411913,-2.13236082216188,0.0329771955172422,0.903834680496197
"Ephx1",672.425497415105,0.543520618169279,0.258149854308928,2.10635546002661,0.0351734871546771,0.909502042568766
"Capn2",500.174087189294,-0.586749651909974,0.251383925458669,-2.33483643690918,0.0195519669300835,0.761319225379712
"Tgfb2",52.1639318449075,-0.611895649110482,0.277444244473804,-2.23804148564873,0.0252183498941317,0.836172741575031
"Lamb3",140.752016381599,0.617123881395449,0.281960495261649,2.19956423846825,0.027837826776236,0.867096713784616
"Dhtkd1",1049.7341442966,0.565114685811445,0.232692161171175,2.42876482078353,0.0151503562698744,0.72102516040287
"Gm13217",923.199867323534,0.646295505055862,0.229915993410254,2.81111919178196,0.0049369493253287,0.481734585060199
"Gm13261",805.768110213173,0.629359992446643,0.224251826115406,2.80638791855206,0.00501003383461779,0.483114615593467
"Sfmbt2",1646.48603105371,-0.758078354153239,0.267260810229102,-2.84204047429437,0.00448258003809984,0.459268341028567
"Pfkfb3",748.931089578485,-0.529315459055357,0.24842522884292,-2.13123994691395,0.0330693796042551,0.903834680496197
"Nsun6",550.721652226374,0.475232645364931,0.230283708441447,2.0635789486116,0.0390576552598455,0.92392695979738
"Med22",2196.94422518642,-0.499862304456197,0.239537767722402,-2.08719677233495,0.0368703511326912,0.922772009340773
"Adamts13",131.32462007911,0.857700637918728,0.265918820997816,3.22448478091784,0.00126199564265126,0.25780110971044
"Gm13547",36.4529901286029,0.690523655536849,0.280628706125651,2.48078974717241,0.013109167237301,NA
"Urm1",1288.57269934647,-0.554358758993479,0.236529138459507,-2.3441466922118,0.0190706691301795,0.757250404039016
"Endog",90.7182564861372,-0.611380342692084,0.277374557392806,-2.20706484655967,0.0273095292765272,0.863858589766248
"Kyat1",569.356822056492,0.562250584991726,0.225179128976522,2.49664757941105,0.0125373487690219,0.667288176527842
"Ier5l",133.737719306446,-0.857836019400507,0.266408679222745,-3.22181137137252,0.00127382967648055,0.25780110971044
"Asb6",1382.37518342357,-0.714568102100638,0.235919167887308,-3.02975779519545,0.00244749927909541,0.354616520120922
"Pomt1",1358.09158290393,0.54476761108199,0.220768422876821,2.46764219274606,0.0136006192241526,0.696728848147494
"Gm13611",2412.44823286587,-0.480917329206138,0.220662692743452,-2.17958463412211,0.0292882648316408,0.890765353219086
"Dnm1",529.068915855822,0.581817470103656,0.272909412825185,2.13512655591111,0.0327506739944775,0.903834680496197
"AI182371",46.2198978001779,0.65203617584708,0.282010243563561,2.3239040228094,0.0201306386158328,0.772837374307604
"Stom",499.717238343764,0.746116678809228,0.240240872095774,3.10570898651106,0.00189823430499929,0.320946410593787
"Gm13522",107.976021315021,0.896354246767874,0.278563299833581,3.2285731278374,0.00124409446241499,0.25780110971044
"BB557941",189.744029193697,-0.535145597438037,0.261776724544766,-2.0447932417995,0.0408752463306322,0.9327517320677
"Wdsub1",642.553843586673,0.533634620437789,0.221737154235914,2.40639468400555,0.0161108485052329,0.721824698752465
"Platr26",285.703907310344,0.696361241969258,0.269659119863428,2.58566939042342,0.00971901038649076,0.60143444109083
"Gm13647",98.8018850569568,0.626798709251127,0.27752990761441,2.26139007988184,0.0237351125116123,0.821049326123902
"Atp5g3",6174.62941170908,-0.427356999827238,0.20820737561898,-2.05263363329223,0.0401081230577843,0.927351849486965
"Nup35",1190.95958484385,-0.453439323083058,0.221726734104856,-2.04514251192207,0.0408408101605513,0.9327517320677
"Slc43a1",1347.63955256573,0.594638375169787,0.226480414806146,2.62572363883607,0.00864649878316629,0.582545546479044
"P2rx3",155.121433890081,0.878472276878388,0.28149423461434,3.1474539532377,0.00164699044533578,0.299990159670995
"F2",92.2634073402285,0.587757862092736,0.279299132504705,2.1075619686051,0.0350688961720969,0.909502042568766
"Pin1rt1",466.465211886409,-0.465955314626436,0.22688954936726,-2.05367395050953,0.040007259417544,0.927351849486965
"Arl14ep",2863.42476342559,0.562850663321802,0.207822477979808,2.70838750875943,0.00676110281225629,0.545754095720173
"Thbs1",510.031971702042,-0.768961577677761,0.278161937945252,-2.84459033060237,0.00444685750694706,0.45847380573197
"Bmf",1158.37252189451,0.641512555962772,0.22849974278436,2.80769201114342,0.00498979232963888,0.483114615593467
"Chac1",968.892632835149,0.747528065261545,0.268283822483611,2.79164114866437,0.00524414796695365,0.491866292457078
"Sptbn5",87.8996479806838,0.615090184470353,0.280232539698872,2.19957064226104,0.0278373719998213,0.867096713784616
"Catsper2",166.536010436033,0.557788220619088,0.255542815023253,2.1820790413788,0.0291036997261854,0.888559161115529
"Patl2",303.798053976856,0.834117500697713,0.268488729468159,3.11191066161566,0.00185880741840858,0.32075189484181
"Fahd2a",170.66550842713,0.512760154817254,0.258756998897508,1.98131800360226,0.0475556226342742,0.948895752305339
"Kcnip3",116.205474792373,0.554638065141388,0.269475659031044,2.05834139406492,0.039557373252291,0.92392695979738
"Zc3h6",313.730026949293,1.43565461494122,0.276636670388348,5.25031181916402,1.51841953688001e-07,0.000829715048935801
"Snrpb",6682.96445926562,-0.449206437852595,0.215767684741576,-2.0820266998563,0.037340030993225,0.923250570244249
"Trmt6",3157.85655115011,-0.505056354985158,0.210457982051487,-2.3999201038668,0.0163986506650486,0.725792295713792
"Fermt1",213.230854926782,-0.571022409767797,0.272723792572393,-2.09627948278649,0.0360574057012696,0.917840142330611
"Acss1",549.479422323966,0.599624790014062,0.248207769595918,2.41623720849865,0.0156818414796124,0.721824698752465
"Srxn1",2188.67836439332,-0.541719936685939,0.21048731965732,-2.57376454864067,0.0100598706769509,0.604644890857638
"Trib3",2504.439882207,0.542337541848598,0.263379854198029,2.06076892467806,0.0393250904680173,0.92392695979738
"Id1",1570.02386913378,-0.680282428038904,0.282184157025327,-2.43288826931373,0.0149789222629715,0.717980914201439
"Eif6",3500.9653157013,-0.494017410779403,0.243024345356007,-2.03328120657973,0.0420241207667164,0.9327517320677
"Cnbd2",374.094093183179,0.500963496792886,0.251747624170792,1.99016360190365,0.0465729164073232,0.944668086521791
