"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",254.649572722131,0.0341437803166693,0.267068515124806,0.127850731195968,0.898267101767753,0.99987220617049
"Gm37381",10.8341199081543,0.0700535847810547,0.236131778070825,0.297080624384644,0.766404956460901,NA
"Rp1",38.4157841013302,-0.297211048371194,0.281695723566026,-1.05655373738202,0.290715303578386,NA
"Sox17",16.1201688769046,-0.16884159564803,0.256290454461299,-0.660703293190372,0.508802611453212,NA
"Gm7357",1999.19701851638,-0.0119224354896595,0.202072464924496,-0.0590219191651062,0.95293464957433,0.99987220617049
"Gm6085",3965.80695154484,-0.123907525207676,0.214260154820902,-0.578307983881336,0.563056205120009,0.99987220617049
"Gm6119",88.9786043437126,0.0183614543046879,0.275534221626786,0.0666338022353483,0.946873235243813,0.99987220617049
"Gm2053",52.9555229311341,-0.0211784788942971,0.281277862332181,-0.0752963283126864,0.939978942773391,0.99987220617049
"Gm6123",2772.51283761679,-0.175381279934423,0.225064377768972,-0.779263882827986,0.435824285518809,0.99987220617049
"Mrpl15",6078.95118401748,0.0492964078434568,0.224570311070436,0.219512549321901,0.826250805297472,0.99987220617049
"Gm37988",49.3884693044016,-0.0550430621154983,0.276782342244184,-0.198944133028076,0.842306446296018,0.99987220617049
"Tcea1",4434.07104835184,-0.087997566671649,0.229577480308898,-0.383305074965048,0.701493576816249,0.99987220617049
"Gm37277",10.0802860946637,0.0583620167049027,0.229908966975117,0.254085723529632,0.79942933249881,NA
"Rgs20",202.409382244083,-0.150895868223513,0.269214658287766,-0.561660615120868,0.574347273138186,0.99987220617049
"Atp6v1h",3458.29442179561,0.0164668723819205,0.20401228248305,0.0807139469911291,0.935669444912259,0.99987220617049
"Gm37567",3.35372470323821,-0.114849340039692,0.159989632440082,-0.744856797007535,0.456358295018053,NA
"Oprk1",38.9171527358457,0.445439878850553,0.249900628983242,1.85891312661323,0.0630394531692574,NA
"Rb1cc1",1989.53209806636,0.023642074100603,0.213949584315817,0.110502188856627,0.912011114045528,0.99987220617049
"Alkal1",93.4308299802041,-0.0395491368126526,0.273615421586085,-0.144538159078949,0.885075526206488,0.99987220617049
"Gm19026",598.505936925065,0.0424874922978792,0.228631323711534,0.185830826380312,0.852577429611389,0.99987220617049
"St18",37.5525315716387,0.0175907609716507,0.280858906012824,0.0626375223028294,0.950055149591539,NA
"Gm37108",1796.41959478379,-0.15360910286874,0.213267782003228,-0.720269116852742,0.471359315687768,0.99987220617049
"Gm5694",7.79094407373123,-0.0893575944942709,0.216981426143699,-0.413121796981745,0.67951738041261,NA
"Pcmtd1",2387.38525403227,0.438535469695935,0.218639022245285,2.00581620622085,0.0448758609335864,0.940787626548445
"Gm9826",2667.89279482936,-0.308352665274206,0.210414923474933,-1.46548208910481,0.142789435491361,0.99987220617049
"Nras-ps2",107.555573846077,-0.111092809865369,0.26685595531485,-0.416320365436436,0.67717559213526,0.99987220617049
"Gm26901",110.134357735419,0.0184619649179632,0.281492506162371,0.0655937839951638,0.94770123811027,0.99987220617049
"Gm30414",11.3493192491161,0.0694371669636858,0.240049138476365,0.289623033081823,0.772104644037204,NA
"Gm7470",83.3854546223601,0.154084807115962,0.273989393831738,0.562340864749629,0.573883801102504,0.99987220617049
"Rps2-ps2",1.43250981979731,0.0692329991020557,0.108496824150867,0.70245488291337,0.482395528786429,NA
"Sntg1",2829.83402131402,-0.0108160255985164,0.264871496341297,-0.040837669803829,0.96742530823442,0.99987220617049
"Gm6187",206.632376753525,0.151569099201832,0.279672166786776,0.542085775049463,0.587759417664107,0.99987220617049
"Gm7512",341.275556264809,0.358282878167539,0.241206855331502,1.48525611201389,0.13747599300058,0.99987220617049
"Rrs1",2841.73089187841,-0.488723220429266,0.227172811185927,-2.15156316704484,0.0314317757329547,0.902611069813084
"Adhfe1",35.3302885844821,0.591333368889148,0.280436718455824,2.12193901973686,0.0338428592064805,NA
"2610203C22Rik",1.47166686878352,0.0358581743330518,0.118486788798556,0.30761398198349,0.758376079708966,NA
"Mybl1",1001.7326201007,0.307706846977205,0.231418171217585,1.32967093586633,0.183626714890772,0.99987220617049
"Vcpip1",2116.60694718426,-0.123112939034091,0.211049916315294,-0.583340309708036,0.55966423173454,0.99987220617049
"1700034P13Rik",60.2855038147765,-0.335115376800998,0.282087014314976,-1.1896014837726,0.234203062403989,0.99987220617049
"Sgk3",296.159736929258,-0.125876124530958,0.23962904501976,-0.525311860651419,0.599366413601076,0.99987220617049
"Mcmdc2",174.874560654298,0.154278188563527,0.274892871483343,0.56123180352773,0.574639524822837,0.99987220617049
"Snhg6",980.134901529899,-0.185243862565164,0.215442924447638,-0.859835319727152,0.389879826707999,0.99987220617049
"Tcf24",164.243133178779,0.488346961213346,0.262262957384353,1.86192116882197,0.0626142027102689,0.99987220617049
"Ppp1r42",9.08531737202414,-0.0646787866573797,0.214646928777495,-0.302135595869958,0.762548698087811,NA
"Cops5",2938.85996950953,-0.173416166571042,0.207108902212123,-0.837326153795966,0.402409262077796,0.99987220617049
"Cspp1",2336.15794723439,0.128209863681011,0.240132252168132,0.533916513257758,0.593399296626874,0.99987220617049
"Arfgef1",2906.43263927796,0.0688613351718227,0.254572639771255,0.270496687736978,0.786778164786865,0.99987220617049
"Cpa6",39.9964501196098,-0.0444633300103665,0.279979427235391,-0.158851385691434,0.873785962836644,NA
"Gm5522",5.63371750186574,0.0572746104154069,0.194809638232067,0.294940250947924,0.768039523073627,NA
"Gm28659",16.1057459454705,0.0555228866218608,0.256876643968433,0.216273725016763,0.828774388800914,NA
"Prex2",335.731333162111,-0.0878288480638324,0.250054218645998,-0.351248835173727,0.725401676002084,0.99987220617049
"A830018L16Rik",3230.66197527926,-0.0957820956785395,0.273958729068165,-0.349645205128157,0.726604980877709,0.99987220617049
"Gm7560",138.700344321609,-0.0447400159093495,0.282155666880455,-0.158553300862946,0.87402082376206,0.99987220617049
"Gm2383",117.640330321004,-0.0938127289618474,0.273005026275504,-0.343661124223706,0.731101150714757,0.99987220617049
"Gm17644",2.19614162330704,0.0500650858375022,0.139770050347914,0.363491699162514,0.716237612615726,NA
"Sulf1",1448.09803902378,-0.366367202467022,0.281695059932137,-1.30317511948235,0.19251498231885,0.99987220617049
"Slco5a1",891.101110860416,0.14883804372774,0.278155125135482,0.535617594816891,0.592222866048845,0.99987220617049
"Gm5250",7.70774843629454,-0.0471044508631765,0.200480266008959,-0.235147810461055,0.814094011478853,NA
"Gm29283",48.5841111966665,0.17919504340044,0.245224213343973,0.736387523468802,0.461494895327031,0.99987220617049
"Prdm14",685.7867434117,0.0480638028786006,0.16626754652385,0.291237337801658,0.770869808180658,0.99987220617049
"Ncoa2",2921.8316977455,0.114922588633541,0.25601485666031,0.448896609103806,0.653506242302544,0.99987220617049
"Gm29570",8.57503448161719,-0.131608765387785,0.216894673328437,-0.61130073205521,0.541000506448959,NA
"Gm7593",5.51648835245178,-0.0647444585887097,0.191918535544804,-0.338474823436997,0.735005396644202,NA
"Tram1",1976.71264024872,-0.104795937380194,0.224701534592596,-0.466380965112002,0.640942833992889,0.99987220617049
"Lactb2",2813.76773008379,0.365783518256417,0.25186420586285,1.4525716589027,0.146342719697769,0.99987220617049
"Xkr9",2.62543780375777,0.0743204625039139,0.140078500742429,0.547773771151322,0.583847250517209,NA
"Gm5523",295.22765234374,-0.122959826609949,0.250533864901723,-0.490810611279761,0.623560404204143,0.99987220617049
"Eya1",59.9388264464834,0.0854044304586906,0.276531703354029,0.309017882258598,0.757307924037201,0.99987220617049
"Gm9947",10.6366094145476,0.112559217791236,0.204870235393752,0.555021045157816,0.57888026573435,NA
"Gm37412",2.21660022768327,0.00586418080112971,0.137428915116902,0.0426498974281918,0.965980619254975,NA
"Smt3h2-ps4",1226.29135892899,-0.0887081129516496,0.236333959434866,-0.375357473215604,0.707394628006486,0.99987220617049
"Rpl5-ps1",11644.9025836222,0.0986621991369477,0.211556962827837,0.466361373073376,0.640956855339198,0.99987220617049
"Trpa1",62.7723038040134,-0.344996013774399,0.281546231521597,-1.22643860776724,0.220033664828592,0.99987220617049
"Gm10566",1902.83632491765,-0.230316174039017,0.230966202037149,-0.997219729628553,0.318657866343091,0.99987220617049
"Kcnb2",38.8635367288463,-0.165014396367627,0.281925142838266,-0.585547865917936,0.558179391494371,NA
"Gm6060",5.70801268471166,-0.0133770418746049,0.195115014601601,-0.068540476232018,0.945355400441758,NA
"Terf1",3725.95672302769,0.124245253658472,0.224111289942768,0.55439258597783,0.579310198951621,0.99987220617049
"Gm37509",7.31510855192513,0.0456736204760308,0.189981467522609,0.240921658066966,0.809615835762239,NA
"Sbspon",564.574913155801,-0.0912470314252287,0.279232357506641,-0.326816468070023,0.74380670308643,0.99987220617049
"Gm7634",0.4626741545442,0.032740525028534,0.0630849239754456,0.455374526718307,0.648839818144975,NA
"4930444P10Rik",10.6333310925598,0.0250136623517839,0.221719697956735,0.112832020708913,0.910163731584188,NA
"Rpl7",20323.9994582503,-0.0367705935716726,0.20554056596007,-0.178898802636071,0.858017162977634,0.99987220617049
"Rdh10",408.03072588183,-0.156449745579444,0.25402146123968,-0.61590835414303,0.537955007530993,0.99987220617049
"Stau2",663.005343889117,0.0667944209843929,0.259932092477361,0.256964691721859,0.797206029956666,0.99987220617049
"Ube2w",1151.29243650951,-0.0489467785621796,0.248265988464269,-0.197155335933178,0.843705981312714,0.99987220617049
"Gm38342",4.35512835493878,-0.111410502565712,0.152371297721316,-0.768517086305005,0.442180043612598,NA
"Eloc",2905.77534375873,-0.315314439760619,0.217598901370883,-1.44910548494072,0.147308126510018,0.99987220617049
"D030040B21Rik",1.50680500264324,-0.0100559601535616,0.120292459517243,-0.0837213023431735,0.933278019784206,NA
"Gm7654",7.19861999564982,-0.183977453906744,0.201378052134514,-0.939573328023226,0.347436462793748,NA
"Tmem70",943.559225971051,0.0372451011947424,0.241972918481567,0.15391934300738,0.877673332334604,0.99987220617049
"Ly96",28.1099049350542,-0.257223887143551,0.27557940746,-0.935849008636498,0.349350934245364,NA
"Gm29649",76.9571782679163,0.0529875056715377,0.277807546439901,0.190717763307506,0.848746721029327,0.99987220617049
"Gm5828",744.742095304382,0.0749258403671064,0.238402137508783,0.314277781378303,0.75331007182961,0.99987220617049
"Gm28376",434.149038413141,-0.344332414965348,0.265324321641289,-1.29822744418805,0.194209190140061,0.99987220617049
"Jph1",42.5005470286374,0.272316375995989,0.27487232026991,0.994542773680125,0.319958692047438,NA
"Gdap1",5.39996456880138,0.0778773452279194,0.190377215297746,0.412130307167637,0.680243915776313,NA
"Gm5251",252.058725578124,-0.190456411712469,0.254395204553051,-0.748692252993403,0.454042714060765,0.99987220617049
"Rbm6-ps1",1538.5353611019,-0.0810244924937183,0.213259074095763,-0.379936360729102,0.703992655647394,0.99987220617049
"Gm6075",19.0921709081798,0.0576927860781233,0.256653492593206,0.224956262191169,0.822013299889889,NA
"Gm16070",17.2408536632098,-0.220142382925925,0.259875895849561,-0.851091408129816,0.394718577807943,NA
"Crispld1",9.00839940507417,-0.00667262623967252,0.211944652403814,-0.0315021738854377,0.974869058496918,NA
"Gm28153",25.1235670924534,-0.0826897687833903,0.258421542812917,-0.320310065485151,0.748733293649655,NA
"Gm7690",402.156994145081,0.54685739211613,0.233974708482156,2.33692696286913,0.019442982092297,0.760600029342312
"Gm28756",3.15260915112868,0.0565370007463238,0.136584153811126,0.423777712921149,0.671727933395662,NA
"Crisp4",2.5322374061323,-0.0562834947592214,0.144287690204854,-0.395101930992893,0.69276766384249,NA
"Defb44-ps",1.75794498826555,-0.0330919156298687,0.126351297055063,-0.263794341822696,0.791938394764187,NA
"Defb41",24.7825897701639,-0.063322295226416,0.266225376786057,-0.237964868129353,0.811908342731497,NA
"Gm5252",286.63079660553,-0.235384363121332,0.259375093740018,-0.907621580024387,0.36407818879565,0.99987220617049
"Gm15825",3.18643589293638,0.0400709237806014,0.160567283783142,0.250763912063981,0.801996644220816,NA
"Tfap2d",332.891671598413,-0.100255185232714,0.256326541209267,-0.39114027493158,0.695693552148156,0.99987220617049
"Gm4849",4544.77103868871,0.0826149257377189,0.210575611704398,0.392327311646729,0.694816386161906,0.99987220617049
"Pkhd1",276.604811089075,-0.37715449641884,0.246303426672901,-1.5313683960491,0.12567837033434,0.99987220617049
"Il17f",191.646901438949,1.06494304764042,0.275699240037331,3.8805691944249,0.000104212290602426,0.0862428779241399
"Mcm3",13471.3442627652,-0.15418081687129,0.218601381741198,-0.705314228990538,0.480614707426985,0.99987220617049
"Gm20587",144.63587733555,-0.00584880205577378,0.259619909036837,-0.0225297673257008,0.982025367130434,0.99987220617049
"Gm28065",5.26534836682947,-0.0468801758623382,0.190051457809575,-0.247147822694152,0.80479382426236,NA
"6720483E21Rik",8.51567542630409,0.190024368712502,0.215147422154092,0.901581216123967,0.367279372935238,NA
"Paqr8",336.23632621791,0.186104418687912,0.253810009898564,0.733260300476093,0.463399683404672,0.99987220617049
