"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",218.660263937954,-0.245312503665864,0.387777030886786,-0.632704109071841,0.526926886027746,0.973680832606612
"Gm37381",17.4581324282663,0.542073242651541,0.470449878232251,1.15621662326249,0.247592562009696,NA
"Rp1",29.5826029417575,0.0896446270090842,0.463543851580676,0.193156211918888,0.84683663071256,0.999723898003346
"Sox17",18.1755107120179,0.515646512470347,0.47040379103424,1.09826442393817,0.27208904186069,NA
"Gm7357",1703.57833891396,-0.135162713508012,0.417978536084712,-0.323370911399646,0.746414356471541,0.994715987219144
"Gm6085",3759.63411019907,0.164840076369449,0.329595709338525,0.50013501014833,0.616980015876891,0.983946126748462
"Gm6119",74.7380925255783,-0.25712010611827,0.417820487541942,-0.615111531017044,0.538481067447333,0.974888311727728
"Gm2053",54.7461369559107,0.224136234175986,0.427571097249921,0.524267639967818,0.60009240095968,0.982285363439666
"Gm6123",2985.08709781367,0.496991037608754,0.329974250032821,1.50619887044903,0.132016129336283,0.784271919910102
"Mrpl15",4932.13152637016,-0.42001314887308,0.357756731698005,-1.1740575407275,0.240371978758192,0.871951216699328
"Gm37988",39.0253680344082,-0.216635237915288,0.460246945366408,-0.470288549204878,0.638148877379349,0.984898445204315
"Tcea1",3828.2069684049,-0.0951593889493938,0.346757640351893,-0.274426270532297,0.783757056688111,0.996626817680489
"Gm37277",12.7816773491319,0.227658465101337,0.458900430686109,0.495343224124467,0.620357864552444,NA
"Rgs20",210.322391210865,0.435196032012696,0.454242060525361,0.958638212208358,0.337741035299248,0.922575303453709
"Atp6v1h",3369.9742735147,0.0859902664920229,0.343241030835195,0.250530446061924,0.80217716269202,0.997634555549222
"Gm37567",3.45955004632261,0.291719806354546,0.373165592979207,0.808281466855415,0.418928568973216,NA
"Oprk1",44.2919211590866,-0.412401057185209,0.469801944631397,-0.878799563598207,0.379509962949979,0.935958237183362
"Rb1cc1",1804.74610217019,-0.0977369876262611,0.325600116935362,-0.300173774766705,0.764044607920497,0.994716980851985
"Alkal1",80.4363644296443,-0.131591463519905,0.412428943618001,-0.319131922432766,0.749626477672215,0.994715987219144
"Gm19026",613.637927956143,0.177954699108898,0.336087941514229,0.529505467846702,0.59645485238346,0.982285363439666
"St18",34.4440798026141,-0.0531008186371058,0.457125619376611,-0.116068849591353,0.907597976343714,0.999723898003346
"Gm37108",1755.96010179022,0.262933682097561,0.332489494815085,0.790824080805918,0.42904665558673,0.953986155380974
"Gm5694",7.99648310018295,0.200348015888575,0.426704486280711,0.474359394260074,0.635243643919412,NA
"Pcmtd1",2249.0367606992,-0.429693245181285,0.336859168839582,-1.27558493201667,0.202102283375494,0.846771202824944
"Gm9826",2160.0438895012,-0.0143604611503177,0.343809325450011,-0.0417657059517077,0.966685473831511,0.999723898003346
"Nras-ps2",123.995670433378,0.550343063055051,0.384492457096433,1.43132454990288,0.152337221110043,0.799774052577326
"Gm26901",90.3044321754519,-0.278718688301394,0.455833588304404,-0.611140434085376,0.541106613419452,0.975370730216811
"Gm30414",9.86294617821544,-0.19856716734959,0.457427623348224,-0.43365439386984,0.66453942912045,NA
"Gm7470",72.4167032000327,-0.359424082080632,0.413009275909816,-0.869946191900584,0.384329810422673,0.938438120510161
"Rps2-ps2",1.67130392389997,-0.102583059312102,0.303435276377871,-0.345005642312494,0.73009012892539,NA
"Sntg1",2543.25865413236,-0.0768075163162896,0.386631978165938,-0.198652929905735,0.842534246570171,0.999723898003346
"Gm6187",169.158469129662,-0.552174439428696,0.39910709436123,-1.38298710826738,0.166668818831264,0.813098865035249
"Gm7512",303.836482403221,-0.522852566719621,0.362238792245486,-1.44306862279974,0.149001141207539,0.799774052577326
"Rrs1",2401.97357110502,0.305110435294107,0.354556344889111,0.860551578500381,0.38948506442299,0.938918208435573
"Adhfe1",58.7388846737194,0.362744385648045,0.446905791372558,0.812717833699216,0.416379854032066,0.949433202200405
"2610203C22Rik",1.22015893964988,-0.0985825701789738,0.250000713686331,-0.433673173488998,0.664525789910856,NA
"Mybl1",1493.34950041559,0.647857937690723,0.404512989845477,1.60231374641644,0.109086247406742,0.756958674778527
"Vcpip1",1773.33079865042,-0.141871808451358,0.329350100937105,-0.430755466540462,0.66664618358305,0.986496640358229
"1700034P13Rik",56.2456513176174,0.454929991109182,0.433805384314081,1.04858946828051,0.29436710511816,0.904585578815388
"Sgk3",219.885401283897,-0.444815854336628,0.362987838888561,-1.2253226494847,0.220453677876242,0.859589457222159
"Mcmdc2",125.893308342176,-0.951207112629842,0.401325782254136,-2.36866210293085,0.017852555163018,0.455773648508311
"Snhg6",1078.80070859157,0.526685112387956,0.35738793457572,1.47387411014664,0.140515489666503,0.795386701297376
"Tcf24",167.635855037346,-0.294465514551738,0.416096225598379,-0.708035311253656,0.478923329446833,0.965585650470535
"Ppp1r42",7.49250829576407,0.0141195389272719,0.438615560988903,0.0321307409013287,0.974367788366584,NA
"Cops5",2890.41544402434,0.291318964097271,0.337976935322324,0.861976067813119,0.388700687565503,0.938918208435573
"Cspp1",2266.63184643171,-0.0454911728005454,0.327535440805597,-0.138886081745386,0.889540169526985,0.999723898003346
"Arfgef1",3062.90860563103,0.201314703234687,0.359544024224077,0.559936306602394,0.575522883202868,0.981189543293278
"Cpa6",34.962240549826,-0.0483417670805827,0.461102440026104,-0.10472402401389,0.916594798372801,0.999723898003346
"Gm5522",4.79100101816484,-0.168394684079365,0.399893757126418,-0.4211349464408,0.673656544310899,NA
"Gm28659",18.1191865597546,0.16992624175696,0.470289802003821,0.361676070425493,0.717594111201572,NA
"Prex2",263.929026336826,-0.284929032337209,0.42508336938587,-0.67008697600261,0.502802346841781,0.970257034675829
"A830018L16Rik",2752.53376858136,-0.0878458784001524,0.37549681511297,-0.233941602874996,0.815030314786459,0.998096374688714
"Gm7560",103.33538745453,-0.422556058168925,0.43831411670795,-0.963540391523768,0.33527640427015,0.921294586077195
"Gm2383",113.095585409051,0.179307507790695,0.394423627454468,0.454533849182616,0.649444634655876,0.984963619072524
"Gm17644",1.5360390987343,-0.192070934522879,0.277383041027781,-0.734792116701193,0.462466108920133,NA
"Sulf1",967.202082997934,-0.103450914745839,0.470242146508766,-0.220003528625655,0.82586840658445,0.999414244119403
"Slco5a1",712.386111108186,-0.669977115668231,0.420766446651763,-1.59332104127205,0.111088188742,0.760207978182196
"Gm5250",8.2607275876192,0.21694685649389,0.441855618083217,0.492264334168798,0.622532489888805,NA
"Gm29283",38.9516584466035,-0.784854972828305,0.465790246949882,-1.69138639861355,0.0907630283130645,0.732694954649219
"Prdm14",508.885502777875,-0.916424539379563,0.456434395619665,-2.01682768275286,0.0437134989809026,0.609105272215638
"Ncoa2",2682.75058953589,-0.180127321435799,0.337150247859372,-0.534256754901247,0.593163907392872,0.982285363439666
"Gm29570",5.98154741779599,0.00623005737424765,0.408206802723584,0.0151606289875336,0.98790403156621,NA
"Gm7593",4.61968678555654,0.0530125138274888,0.403534686836271,0.13114757518854,0.895658566583483,NA
"Tram1",2036.28982729788,0.320772322950492,0.361774751972198,0.886716886148286,0.375231344712137,0.935163382792373
"Lactb2",3846.2714402543,0.443243613532953,0.400899651440668,1.10584570542519,0.268793308452682,0.888360531297459
"Xkr9",3.1112714147757,-0.0462522547840273,0.35608397179485,-0.129976405579761,0.896585093936824,NA
"Gm5523",295.32266096035,0.29274405329935,0.350108172531621,0.836187985613602,0.40304915626216,0.941971684615171
"Eya1",71.0336771530938,0.300623400507059,0.442257720547356,0.679797042713484,0.496632979449497,0.969581524707661
"Gm9947",11.6565549285394,-0.0609532115734236,0.455387042907652,-0.133372653141653,0.893898671798708,NA
"Gm37412",1.54534020004476,-0.0972805928051751,0.271954312887079,-0.362598476145724,0.716904848771044,NA
"Smt3h2-ps4",989.652494588332,-0.266612292927976,0.353247536646264,-0.754709139340822,0.450423521576061,0.957789501772843
"Rpl5-ps1",11306.6482070037,-0.00214781690281232,0.342878484571075,-0.00626128468775414,0.995004250258838,0.999723898003346
"Trpa1",37.6203359534707,-0.406279166314309,0.450245049471657,-0.902648941429219,0.366712242902284,0.934446936116216
"Gm10566",1752.8839845604,0.220731091361952,0.328316745111566,0.67231412622081,0.501383738595061,0.970257034675829
"Kcnb2",34.9651855419892,0.160816540138579,0.45155421889465,0.356075669303994,0.72178389774289,0.993460587179155
"Gm6060",4.94542474107341,-0.0244452265638963,0.407184433271798,-0.0597714418718014,0.952337670981958,NA
"Terf1",3278.63407343544,-0.294502817363115,0.325951939442303,-0.903519765067721,0.366250103102747,0.934446936116216
"Gm37509",6.53842298863583,-0.127037869082835,0.415060066067092,-0.306193484076463,0.759457333266464,NA
"Sbspon",448.550179068056,-0.239276937331064,0.409555021492658,-0.584177783336369,0.559100707076898,0.979814270221324
"Gm7634",1.25847673513568,0.087856555052362,0.275642202415214,0.323035725950689,0.746668185876715,NA
