"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Upregulated","BP","GO:0045786","negative regulation of cell cycle","48/796","451/23328",3.40501109531403e-12,1.66232641673231e-08,1.36558866033121e-08,"Tnfaip3/Gadd45gip1/Rbm38/Cdkn1b/Rbl2/Bmp4/Gata6/Hormad1/Vash1/Cdkn1a/Tgfb1/Rgcc/Plk2/Rassf1/Ilk/Mdm2/Calr/Bcl2l1/Ak1/Cdkn2b/Rb1/Pidd1/Nae1/Casp3/Tpra1/Btg2/Whamm/Cdk2ap2/Nr4a1/Btg1/Orc1/Susd2/Trp73/Rhno1/Pcid2/Nr2f2/Npr2/Rfwd3/Dgkz/Brd7/Ddias/Prkaca/Kifc1/Ezh2/Zfp36l2/Dna2/Ptprk/Ptpn3",48
"2","Upregulated","BP","GO:1902903","regulation of supramolecular fiber organization","38/796","370/23328",1.73332752362469e-09,4.14819831883569e-06,3.40771374862847e-06,"Rapgef3/Esam/Cdkn1b/Capg/Carmil2/Rgcc/Arpin/Sdc4/Sorbs3/Kank3/Colgalt1/Rb1/Cryab/Tmsb10/Ckap2/Whamm/Hspg2/Prkce/Tmsb4x/Icam1/Ap1ar/Sptan1/Id1/Ppp1r9a/Dysf/Arap1/Eps8/Prkcd/Dctn1/Rhoc/Myo1c/Arhgap18/Baiap2/Vasp/S100a10/Map1s/Hdac2/Arhgef5",38
"3","Upregulated","BP","GO:0071900","regulation of protein serine/threonine kinase activity","42/796","442/23328",2.54907721354098e-09,4.14819831883569e-06,3.40771374862847e-06,"Wnt7b/Tnfaip3/Dusp2/Rgs14/Mst1/Cdkn1b/Bmp4/Gadd45b/Adam8/Cdkn1a/Itga1/Tgfb1/Gdf15/Rgcc/Il34/Ilk/C1qtnf9/Prkag1/Sfn/Cdkn2b/Rb1/Casp3/Trp73/Nr2f2/Slc27a1/Cbs/Raf1/Camk1/Adam9/Pdgfa/Prkcd/Ccnd3/Lpar2/Dusp4/Prdx2/Trib1/Epha4/Map3k5/Ezh2/Dusp5/Shc1/Arhgef5",42
"4","Upregulated","BP","GO:0045930","negative regulation of mitotic cell cycle","28/796","236/23328",1.08725725373205e-08,1.32699747817996e-05,1.09011845703134e-05,"Gadd45gip1/Rbm38/Cdkn1b/Rbl2/Bmp4/Cdkn1a/Tgfb1/Rgcc/Plk2/Mdm2/Bcl2l1/Cdkn2b/Rb1/Pidd1/Nae1/Tpra1/Btg2/Cdk2ap2/Btg1/Orc1/Pcid2/Rfwd3/Dgkz/Brd7/Ddias/Ezh2/Zfp36l2/Ptpn3",28
"5","Upregulated","BP","GO:0006913","nucleocytoplasmic transport","32/796","308/23328",2.53880693176096e-08,1.88466446021373e-05,1.54823769236385e-05,"Rapgef3/Rgs14/Zc3h12a/Bmp4/Lmna/Ei24/Cdkn1a/Egr2/Tgfb1/Mdm2/Calr/Prkag1/Sfn/Nfkbia/Ddx19b/Cdh1/Tnfrsf1a/Tnpo2/Pcid2/Ddx19a/Camk1/Prkcd/Cchcr1/Mbtps1/Prkaca/Sem1/Abce1/Fbxo22/Ranbp3/Ipo8/Phb2/Nutf2",32
"6","Upregulated","BP","GO:0051169","nuclear transport","32/796","308/23328",2.53880693176096e-08,1.88466446021373e-05,1.54823769236385e-05,"Rapgef3/Rgs14/Zc3h12a/Bmp4/Lmna/Ei24/Cdkn1a/Egr2/Tgfb1/Mdm2/Calr/Prkag1/Sfn/Nfkbia/Ddx19b/Cdh1/Tnfrsf1a/Tnpo2/Pcid2/Ddx19a/Camk1/Prkcd/Cchcr1/Mbtps1/Prkaca/Sem1/Abce1/Fbxo22/Ranbp3/Ipo8/Phb2/Nutf2",32
"7","Upregulated","BP","GO:0097191","extrinsic apoptotic signaling pathway","27/796","233/23328",3.27324110443728e-08,1.88466446021373e-05,1.54823769236385e-05,"Tnfaip3/Jak3/Bmp4/Lmna/Tnfrsf12a/Fas/Tgfb1/Lgals3/Fyn/Tnfrsf10b/Bcl2l1/Pidd1/Tradd/Icam1/Raf1/Sh3rf1/Bloc1s2/Hmox1/Siva1/Cyld/Itm2b/Foxo3/Ddx47/Prdx2/Gclm/Bid/Htra2",27
"8","Upregulated","BP","GO:0032956","regulation of actin cytoskeleton organization","35/796","361/23328",3.30347897443844e-08,1.88466446021373e-05,1.54823769236385e-05,"Rapgef3/Esam/Capg/Carmil2/Tgfb1/Rgcc/Ilk/Arpin/Sdc4/Grhl3/Sorbs3/Kank3/Tmsb10/Whamm/Prkce/Tmsb4x/Icam1/Ap1ar/Sptan1/Id1/Lrp1/Ppp1r9a/Arap1/Eps8/Prkcd/Rhoc/Myo1c/Bst2/Arhgap18/Baiap2/Arhgap17/Vasp/S100a10/Hdac2/Arhgef5",35
"9","Upregulated","BP","GO:2001233","regulation of apoptotic signaling pathway","38/796","413/23328",3.47439167184014e-08,1.88466446021373e-05,1.54823769236385e-05,"Tnfaip3/Jak3/Plaur/Bmp4/Lmna/Tnfrsf12a/Fas/Ei24/Bbc3/Lgals3/Mdm2/Fyn/Bcl2l1/Rb1/Herpud1/Acaa2/Trp73/Icam1/Zfp385a/Raf1/Pmaip1/Sh3rf1/Tmem161a/Hmox1/Prkcd/Siva1/Cyld/Ddias/Wdr35/Prdx2/Bmi1/Gclm/Bid/Ngfr/Siah1a/Htra2/Ybx3/Hdac2",38
"10","Upregulated","BP","GO:0007050","cell cycle arrest","20/796","137/23328",4.38315811254938e-08,2.13985779054661e-05,1.75787709566454e-05,"Gadd45gip1/Rbm38/Cdkn1b/Gata6/Vash1/Cdkn1a/Tgfb1/Rgcc/Rassf1/Ilk/Mdm2/Calr/Ak1/Cdkn2b/Rb1/Pidd1/Whamm/Trp73/Ddias/Prkaca",20
