"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Adhfe1",41.0144669959834,1.24842293655868,0.514949040040729,2.42899494238292,0.0151407435444972,0.383243359647591
"Mybl1",1266.22292585566,0.989997730646783,0.441227243883439,2.24494416956438,0.0247717169171118,0.457831437416666
"Gm6489",203.378024140426,-0.941815134083673,0.447448724865808,-2.10412051791639,0.0353679354845875,0.511520748529606
"Arhgef4",323.30641166715,1.16298823556172,0.467604603721932,2.49005429003867,0.0127723583547665,0.355695394288641
"Plekhb2",929.159288200536,1.15376446977966,0.461634408602057,2.50216104332395,0.0123437761563625,0.353696058182002
"Zap70",200.097798599704,1.42559556953381,0.472774269556437,3.02003959492025,0.0025274164219956,0.185022825694137
"Inpp4a",914.584155663217,1.19951784351405,0.468861409161055,2.56211360393639,0.0104037281623497,0.325030059807852
"Rev1",3546.90405350716,0.949644620759794,0.438623293811584,2.16610928885989,0.0303028365610665,0.49204196399657
"Lonrf2",28.5321266079733,-1.16580685325139,0.542412287533211,-2.16774991321337,0.03017771956531,0.491369238346742
"Chst10",217.840352281467,-1.37498948986685,0.478146474312364,-2.87818151562141,0.00399974923314487,0.220294830448982
"Tbc1d8",935.948450014131,1.28693919489747,0.445592658482273,2.89083111342126,0.00384224539728312,0.219328746721891
"Il1r2",18.3628835617984,-1.24469844633721,0.539684965728479,-2.30988843220232,0.0208943316628639,NA
"Slc40a1",604.543356821178,-1.17187843974998,0.511152325944178,-2.30168600575526,0.021352885954599,0.439156912905418
"Nabp1",1078.20517408923,-0.827556862139999,0.395918054498348,-2.09031162139878,0.0365898160091329,0.514433321250337
"Nemp2",765.951184826818,0.876933877969779,0.406245232473849,2.15899549964941,0.0308505160779622,0.495648133023714
"1700019A02Rik",159.777915547189,-1.28774865603869,0.467900086870691,-2.75136164169531,0.00593480843743194,0.258922959925493
"9130227L01Rik",29.3085341404251,-1.53234024047925,0.530850450619816,-2.87900960414583,0.00398926185220592,0.220294830448982
"Orc2",1456.03102772509,0.959378786678679,0.448610105413176,2.13986173965688,0.0323659419219952,0.504693674688804
"Nrp2",1451.09124459807,1.06249235777078,0.403741939139517,2.63225232442058,0.00848208420466607,0.291981735273681
"Adam23",2423.87115535399,0.895266978941998,0.396739131357695,2.25688128148979,0.0240154939837956,0.452986781751425
"Fn1",19271.1918231908,0.924095099794606,0.413378575997734,2.23607239735457,0.0253470292033689,0.461229057275741
"Apol7d",40.5062581386512,1.30916615548689,0.536495441350291,2.46774180169889,0.0135968354998064,0.363226840559949
"Slc11a1",122.215725358748,0.935366074398425,0.471285543503232,1.98594505205815,0.0470394255145238,0.558868738526903
"Plcd4",164.185171640138,1.06039018478445,0.469896658553437,2.25858239717132,0.0239093738054083,0.452986781751425
"Wnt6",212.395919775422,1.34907096303833,0.467594905210358,2.88863657200133,0.0038691596951574,0.219328746721891
"Des",959.841211801172,1.48242191826172,0.459764931990981,3.22994006387271,0.00123816171541187,0.129116166796144
"Inha",95.0322790242305,1.03578072009244,0.476603950451511,2.17365027441313,0.0297314097198689,0.488531931256127
"Gm2619",25.9759520490283,-1.05741036086806,0.534070574364028,-1.98121056569413,0.0475676648402999,0.56066379067051
"Sp110",102.230694269775,-1.3824978522616,0.474620518197608,-2.90898493951174,0.00362604327344796,0.216434234424
"Ecel1",66.3469185642236,1.30733319637411,0.517707858781848,2.53697154334289,0.0111816042804472,0.33774408821098
"Inpp5d",4649.89209848538,1.003267735289,0.481487246810448,2.08674102838015,0.0369115503900131,0.516616954282184
"Espnl",22.7569301127419,-1.15214758871011,0.542675285145586,-2.1557896183844,0.0311000964966542,0.497249793073438
"Kif1a",365.329317602268,-1.18187405895634,0.4870073674908,-2.43025021939764,0.0150884021477621,0.383243359647591
"Gm17847",207.731103416585,-1.19392266984486,0.515735042423486,-2.32631939215628,0.0200015182567731,0.430967017320028
"Gm17752",1556.33928503279,0.779700300073997,0.372644638454309,2.09245249688629,0.0363980568962964,0.514433321250337
"9330185C12Rik",228.643554901777,-1.08030100612368,0.50122649882613,-2.15865673747896,0.0308768074771555,0.495648133023714
"Tfcp2l1",11498.0362938897,1.11672149677874,0.496838550805369,2.25377002859873,0.0242106392377443,0.453346125076126
"Cd55",911.481596128682,1.43649819208096,0.481903045225629,2.98951428254149,0.00279421383859952,0.188161305470975
"Rab7b",16.3886098452312,-1.03242538537437,0.54010127187131,-1.96934110897423,0.0489139334898127,NA
"Slc26a9",29.6182515439647,-1.62014187119772,0.543035730532592,-3.06972526554562,0.0021425576145042,0.1699286250259
"Lemd1",356.697429176096,0.883996976486728,0.41309242220839,2.14019983782086,0.0323386202821822,0.504693674688804
"Nuak2",706.074413639064,1.02679464521002,0.486058961683229,2.11602412898761,0.0343427554604739,0.510480875523651
"Lrrn2",79.275997596761,-1.45898152489504,0.469394443854573,-3.10042869976945,0.00193240731774674,0.163080082135192
"Mdm4",22952.0626488956,1.21666135266019,0.449122246002085,2.71174445960572,0.00669301684290947,0.266029987691767
"Pik3c2b",548.662009484266,1.18873804677704,0.484223015259883,2.45996955233367,0.0138948803283035,0.368418638404699
"Btg2",3457.67551348773,1.00123447460613,0.461001172223177,2.17381360854864,0.0297191361103657,0.488531931256127
"Chit1",263.202611787801,-1.27866223993356,0.447968164836878,-2.85396312233104,0.00431775431201799,0.222688802595263
"Ppp1r12b",341.2106343138,0.963275012703163,0.457224271241251,2.10819116776513,0.0350144569587921,0.511041748694396
"Ube2t",1715.24165129847,0.97322753089496,0.461663471623076,2.10988523360053,0.0348682424572682,0.510480875523651
"Ptprv",510.419874733454,1.30205450887323,0.438669830046927,2.97022492747299,0.00297581775691698,0.196679510637717
"Phlda3",2147.2075769618,0.884930672312803,0.437820766814406,2.02205435172254,0.0431707371612505,0.548704989061621
"Fam129a",4461.02732746063,1.24218289485474,0.450709911937003,2.75904219181538,0.00579710498181189,0.257336662687645
"Colgalt2",172.706225746667,-1.39032855960586,0.459316238018319,-3.02526543775026,0.00248415007360353,0.184344900067384
"Nmnat2",2844.38682556625,1.12991607580096,0.414840792359311,2.72480785768042,0.00643389173247532,0.264432060479677
"Lamc2",1503.80667077524,1.1941980529672,0.442993615715826,2.69791355620023,0.00697755567964627,0.273658200227006
"E330020D12Rik",914.434624658341,1.78302071569813,0.515333658631764,3.5018597901507,0.000462022688267431,0.0851690549802035
"BC034090",556.43812678899,1.37651515782874,0.510098052412477,2.71428517654641,0.0066418962587686,0.266029987691767
"Soat1",1711.49683911526,-0.848463136185495,0.43013872132541,-1.97299142635871,0.0484965391560651,0.565826925601767
"Cryzl2",345.041564663656,0.958926579109028,0.469835619402901,2.04288981818059,0.0410633464696751,0.535208916775993
"Ankrd45",537.224966505616,-1.13385683984962,0.482562887681728,-2.35336975672132,0.0186041240292,0.41918004204681
"F5",75.4044380997754,1.14085856334126,0.460642718754162,2.47554680569756,0.0133032323048899,0.359147020394492
"Slc19a2",4458.48008012078,0.791210517933631,0.397310576022191,1.99168906274442,0.0464051844960783,0.557671275379588
"Atp1b1",4203.6790619786,1.06713676032468,0.45229858895875,2.36132507477556,0.0182097604922391,0.415541145759599
"Sft2d2",1612.72274335594,0.80874784648342,0.407074158986746,1.98707573641459,0.0469140046015212,0.558868738526903
"Mael",425.034032004934,-0.884431793931468,0.418968071729729,-2.11081273717032,0.0347884108909296,0.510480875523651
"Pogk",98.72024208963,-1.18787770357791,0.504255560734937,-2.35683947665708,0.0184312123032337,0.417392111105592
