"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",198.458559497839,-0.211575747603896,0.424982805742954,-0.497907956337287,0.618548919149521,0.965052044361153
"Gm37381",15.1638695297476,0.727102389839722,0.542146192348258,1.34669203938203,0.178079437190237,NA
"Rp1",34.5376965645725,-0.318430123608327,0.513933391451614,-0.618886060948557,0.535991421834744,0.954632887527511
"Sox17",19.6076257750553,0.252271938975304,0.535580120297851,0.470893365097843,0.637716886353909,NA
"Gm7357",1623.88039615372,-0.188318352632261,0.492377756830644,-0.382490914045046,0.702097267059189,0.971721662561405
"Gm6085",3659.01414665551,0.0362070629798377,0.370776202268843,0.0976499001710261,0.922210299208939,0.992953803119778
"Gm6119",68.3985495595216,-0.246024639563569,0.464207699529075,-0.5298345305298,0.596226661668407,0.96436721909624
"Gm2053",51.2967346582427,0.202782020876296,0.480665623265221,0.42189213565781,0.67310375055682,0.969981368427158
"Gm6123",2944.1976564571,0.308576932274409,0.381596210024618,0.808653000025302,0.418714769794304,0.924921515798533
"Mrpl15",4453.8746398264,-0.380987191480341,0.390708888053472,-0.975135171316522,0.329493214343905,0.892159587562689
"Gm37988",38.1244694219709,-0.327473410578025,0.514730802848965,-0.635715176131425,0.524962082986312,0.954144756853114
"Tcea1",3692.33892117821,-0.192626937982737,0.3810223090105,-0.505561206557102,0.613164720709359,0.965052044361153
"Gm37277",10.9858796387243,0.367184064061181,0.53766204130821,0.683464811865791,0.494313177991464,NA
"Rgs20",220.545990610747,0.167320464810446,0.517088164457748,0.323531622071258,0.74629266316936,0.974232844028267
"Atp6v1h",3099.99296203277,0.103934407426095,0.385108187042983,0.269884155392854,0.787249377187283,0.977693648997392
"Gm37567",4.48477156348555,0.0554466606422634,0.492381836071279,0.112722028010847,0.910250936726498,NA
"Oprk1",22.6882218089447,0.559839259349578,0.536284051860278,1.04466091824903,0.296179713622103,0.880056855072779
"Rb1cc1",1653.57145232625,-0.0734177532397966,0.373194712393461,-0.19673076394151,0.84403823438376,0.986192844171396
"Alkal1",76.2546892104394,-0.184569746809646,0.459759116055492,-0.401526351966571,0.688032640631073,0.971099338750461
"Gm19026",558.403644974855,0.224020426766975,0.386143234030665,0.580157888451284,0.561808149034332,0.958956134288305
"St18",31.4186341781685,-0.0313504872356166,0.51475842912105,-0.0608629582480906,0.951468349766566,0.995011148158146
"Gm37108",1725.46615061213,0.105220190402915,0.375165838906597,0.280463818373796,0.779121680713746,0.976901561679598
"Gm5694",8.56190055735142,0.0733911241179021,0.522564128905203,0.141211812957948,0.887702614198864,NA
"Pcmtd1",1701.24012550875,0.0264937223434772,0.382305558303321,0.0692971645785373,0.944753082652659,0.99435486960487
"Gm9826",2293.27980879631,-0.330643523011918,0.38629984701473,-0.855925737965842,0.392038857427841,0.918313833803772
"Nras-ps2",120.151050942248,0.42650092789539,0.430817702563141,0.989921391166573,0.322212542997504,0.88515011587817
"Gm26901",82.1735201799485,-0.296075906290312,0.482327079328525,-0.613407092072382,0.539607197826788,0.955453630237723
"Gm30414",8.12995869740826,-0.0920069073065509,0.532243177213842,-0.172512656179902,0.863034512330179,NA
"Gm7470",60.8381629995163,-0.178879536255991,0.469874204366748,-0.380649561886489,0.703463299861025,0.971721662561405
"Rps2-ps2",0.777776753830951,0.0782551384630383,0.273183374190044,0.29706443588598,0.766417315449675,NA
"Sntg1",2366.18475599305,-0.096805388251756,0.385691415534239,-0.250991242487124,0.801820880001552,0.980705524580376
"Gm6187",140.042843767019,-0.349145372352686,0.461090219161927,-0.757043131424446,0.449024022561083,0.935186185720432
"Gm7512",233.42601535274,-0.138843376508003,0.410735780879364,-0.338001977570912,0.735361697509862,0.973685650307797
"Rrs1",2737.54817093814,-0.207021930683377,0.399700559963958,-0.517941918485122,0.604498793928504,0.964746571798107
"Adhfe1",41.0144669959834,1.24842293655868,0.514949040040729,2.42899494238292,0.0151407435444972,0.383243359647591
"2610203C22Rik",0.78536157193305,-0.0387491790016877,0.27311547965783,-0.154765130928158,0.877006481423916,NA
"Mybl1",1266.22292585566,0.989997730646783,0.441227243883439,2.24494416956438,0.0247717169171118,0.457831437416666
"Vcpip1",1734.83531737054,-0.270569615521021,0.374409787732156,-0.722655193311851,0.469891749930066,0.943315491890086
"1700034P13Rik",63.6656655186642,0.000464041868187034,0.477999302345287,0.000968597319750166,0.999227171273778,0.999856278807259
"Sgk3",218.110075798895,-0.589326555200556,0.405893365308669,-1.45181896742673,0.14655194851599,0.779595739436084
"Mcmdc2",103.410331173586,-0.781871169470899,0.448792257075067,-1.74148839894509,0.0815980050296644,0.658424965290962
"Snhg6",1064.87200580621,0.348163252740595,0.396515056096124,0.878100673439678,0.379889087555821,0.915006493907325
"Tcf24",120.798311251351,0.237103992445539,0.467376870939215,0.507524788894409,0.611786647702136,0.965052044361153
"Ppp1r42",7.93034903519054,-0.126542227958776,0.529270004971782,-0.238793083667084,0.811266033546644,NA
"Cops5",2857.68753691891,0.117382614632254,0.381649158610446,0.307567769930074,0.758411247943047,0.975113510290027
"Cspp1",1979.81948966112,0.0979957383265007,0.388226890274825,0.252415126451865,0.800720209384476,0.980350656605216
"Arfgef1",2751.8850389961,0.280696569592594,0.416850500633052,0.673397148971688,0.500694661940148,0.950226185965833
"Cpa6",33.5524541994197,-0.12041385673544,0.515330268944521,-0.233439414107289,0.815420210417596,0.983809589736287
"Gm5522",3.73716237303694,-0.0761354122400848,0.467862472498741,-0.161949684188819,0.871345476882868,NA
"Gm28659",15.8554654748402,0.282577083934164,0.541052012179736,0.522805538141307,0.601109585249931,NA
"Prex2",256.134840089103,-0.396301811271379,0.462450941728956,-0.856749968567059,0.391583081306519,0.918313833803772
"A830018L16Rik",2696.60101919749,-0.219675762027329,0.407679482471393,-0.538848975526186,0.58999106691521,0.964263051620016
"Gm7560",99.3206770255428,-0.529201744708597,0.473134935953595,-1.11787856499045,0.263618860936712,0.863017505643949
"Gm2383",109.961717498813,0.0628459286066124,0.448526338927436,0.140094198236626,0.888585564524328,0.990566220261117
"Gm17644",0.920612491905524,-0.115632307388643,0.291862748904722,-0.386020010184143,0.699481849242035,NA
"Sulf1",1189.34621918736,-0.550915796805582,0.528256398022235,-1.0446582114534,0.296180965090219,0.880056855072779
"Slco5a1",564.549422525177,-0.427947658204322,0.468271754130841,-0.914063574735022,0.360683440962786,0.906504554581934
"Gm5250",8.38379121725577,0.138805008700819,0.533052123089563,0.260445210662534,0.794520372786696,NA
"Gm29283",25.8601230034974,-0.356248099960013,0.541949374078848,-0.658520217849914,0.510203909930412,0.954144756853114
"Prdm14",368.760277975272,-0.634666019845375,0.518308062546517,-1.22634262716205,0.220069766451348,0.836639575135526
"Ncoa2",2341.18395156537,-0.0424926475587031,0.401992096690727,-0.105706931529567,0.915814880602731,0.992953803119778
"Gm29570",7.39545762443555,-0.249271646127248,0.518000655237423,-0.480143691976681,0.631125222212717,NA
"Gm7593",5.07859783908804,-0.0847029344296086,0.503040837959986,-0.168257873308013,0.866380413540851,NA
"Tram1",1962.84928585027,0.219421237132285,0.39797065882345,0.551363408347783,0.581384579369866,0.963196507145934
"Lactb2",3141.59075060173,0.859090808322939,0.442256940280479,1.94335429495261,0.0519733655226721,0.5743521383981
"Xkr9",2.00102074581602,0.147085472683193,0.401908213834011,0.37054249927692,0.710978316596201,NA
"Gm5523",288.290604357222,0.15151764885151,0.405127198312658,0.374005962075501,0.708399880469188,0.971766370589458
"Eya1",61.8928479266549,0.474772644954572,0.48870620086599,0.971452420587363,0.331323035374645,0.893554588384858
"Gm9947",8.50436204880911,0.204648954349451,0.522450166223243,0.391440907875556,0.695471359554208,NA
"Gm37412",1.37160302943344,-0.107040091899354,0.337772916096965,-0.319678963722785,0.749211708148385,NA
"Smt3h2-ps4",958.05646466222,-0.366669857429743,0.399347003036071,-0.918154694494974,0.358537883786454,0.905606303774843
"Rpl5-ps1",10055.5272556855,0.0993973317700596,0.381296251850909,0.260680936281941,0.794338568531646,0.97939128310716
"Trpa1",46.7992532104027,-0.900602676871166,0.494397647450583,-1.82134595556095,0.0685542848757612,0.628618206441872
"Gm10566",1788.74725780935,-0.0309846737407397,0.383523005005564,-0.080792412824431,0.935607042034357,0.993954947099035
"Kcnb2",36.3580297688535,-0.06520542804848,0.50353886502405,-0.129460369574169,0.896993381504038,0.991213331560248
"Gm6060",4.7442268046829,-0.0581739680829667,0.494559122004188,-0.117228790696959,0.906678752532739,NA
"Terf1",2862.45736654259,-0.1620868896919,0.373776166477043,-0.433650674267789,0.664542130595867,0.969981368427158
"Gm37509",5.29477739942715,-0.0424236906634119,0.505604996923959,-0.0837450937439195,0.933259103422897,NA
"Sbspon",441.940643047083,-0.381367385183798,0.440265048704241,-0.866162548066846,0.386401028398143,0.917837930518208
"Gm7634",0.764668636355057,0.173227786765558,0.250794119697877,0.71484682636742,0.474703696796695,NA
"4930444P10Rik",6.25174201089993,-0.36822375304361,0.504382101457581,-0.734929738503192,0.462382285896628,NA
"Rpl7",17410.5817115843,-0.06070670843682,0.366796994178734,-0.165508026561984,0.868544132676198,0.988398497863113
"Rdh10",359.442362627305,-0.129513247570295,0.411682976988807,-0.314575739701623,0.753083801559041,0.97468900066521
"Stau2",479.402860094879,-0.371625568063744,0.413380139621108,-0.899026125157604,0.368638745266972,0.910933627407988
"Ube2w",908.474546494982,-0.291319142673749,0.399762991513167,-0.72871376855353,0.466176768779734,0.940728754701163
"Gm38342",3.54926056637792,-0.419568755127575,0.465949331408401,-0.9332887430827,0.350670905693262,NA
"Eloc",2598.97485289584,-0.237301871473783,0.370236304648929,-0.640951257173528,0.521554352072869,0.954144756853114
"D030040B21Rik",1.24187540883476,-0.0420631400792626,0.344444188120621,-0.12286618655332,0.90221306192486,NA
"Gm7654",8.62223568411611,-0.0308210128619014,0.533945765557842,-0.0578812454255015,0.953843222055738,NA
"Tmem70",857.60476234333,0.156078913112958,0.407581423433695,0.382957540999354,0.701751245927358,0.971721662561405
"Ly96",20.8140618793052,-0.711836383053309,0.540100379445565,-1.31717065993083,0.187781426236948,NA
"Gm29649",62.6102861933263,-0.0629412584541653,0.469088193624677,-0.134174585931347,0.893264521664354,0.991213331560248
"Gm5828",675.552791141084,0.196123995245239,0.387058046686876,0.506699887357181,0.612365409618461,0.965052044361153
"Gm28376",336.663939636313,-0.732928509159431,0.441518081625635,-1.65987214174098,0.0969401768591026,0.698965873052991
"Jph1",29.0526591294629,0.0746400686440842,0.537903654153,0.138482183078196,0.889859349786204,0.990799282269596
"Gdap1",3.15850573363865,-0.113621782852416,0.455873498086872,-0.250061933595812,0.802539453511255,NA
"Gm5251",263.114400153447,0.225607354080997,0.417292220578801,0.540709184287266,0.588708047091985,0.964201155818032
"Rbm6-ps1",1236.5603657677,-0.277212888350299,0.380589347202504,-0.728368558476341,0.466388004714422,0.940736288473931
"Gm6075",14.3538441209752,-0.102243550773685,0.54303331687326,-0.188184419045667,0.850732086084399,NA
"Gm16070",15.2057253758578,-0.331321379143286,0.542513105273578,-0.609921688429052,0.541913684688889,NA
"Crispld1",5.93740265526168,-0.260409784837638,0.487492477614124,-0.535054924135862,0.592611878248062,NA
