"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Upregulated","BP","GO:0045786","negative regulation of cell cycle","46/970","451/23328",2.20243834134692e-08,0.000110672526652683,9.47048486779176e-05,"Cdkn1b/Rbl2/Ddit3/Vash1/Hormad1/Camk2n1/Bmp4/Btg1/Rgcc/Susd2/Npr2/Heca/Bmp7/Rb1/Gata6/Whamm/Mdm4/Nae1/Mdm2/Nek1/Tpra1/Tnfaip3/Calr/Cdkn1a/Ptprk/Rhno1/Orc1/Slc25a33/Plk2/Trp73/Btg2/Pidd1/Rassf1/Rbm38/Casp3/Gpnmb/Ccp110/Ddias/Nr4a1/Tgfb1/Mbd4/Brd7/Usp28/Dgkz/Prkaca/Rfwd3",46
"2","Upregulated","BP","GO:0097193","intrinsic apoptotic signaling pathway","33/970","295/23328",2.64539978963505e-07,0.000664656697145806,0.000568760954771536,"Ddit3/Ei24/Herpud1/Itpr1/Perp/Atp2a3/Bbc3/Mdm4/Mdm2/Cdkn1a/Tmem161a/Polb/Cyld/Apaf1/E2f2/Trp73/Nfatc4/Tnfrsf1b/Casp3/Bid/Ddias/Zfp385a/Pdk2/Map3k5/Tnfrsf1a/Mbd4/Phlda3/Usp28/Hipk1/Shisa5/Eif2ak3/Hdac2/Siah1a",33
"3","Upregulated","BP","GO:0006644","phospholipid metabolic process","38/970","374/23328",4.04732378718892e-07,0.000677926734354145,0.000580116409497079,"Plcg1/Pla2g7/Gdpd3/Lpcat2/Acp6/Wdr91/Gata6/Tmem38b/Agpat4/Pik3c2b/Slc27a1/Agpat5/Abhd8/Tmem150a/Plcd4/Pigyl/Fig4/Etnk1/Dgka/Fdft1/Inpp5d/Abhd4/Pip4k2c/Dgke/Capn2/Pip4p1/Ttc7b/Gnpat/Serac1/Tgfb1/Dgkz/Pla2g15/Prkcd/Pigf/Dgkq/Smpd2/Socs3/Dgkh",38
"4","Upregulated","BP","GO:0006654","phosphatidic acid biosynthetic process","8/970","20/23328",7.00116619742147e-07,0.000705008353833004,0.000603290730643168,"Slc27a1/Abhd8/Dgka/Abhd4/Dgke/Dgkz/Dgkq/Dgkh",8
"5","Upregulated","BP","GO:0071156","regulation of cell cycle arrest","13/970","59/23328",7.01500849585079e-07,0.000705008353833004,0.000603290730643168,"Rgcc/Gata6/Mdm4/Mdm2/Calr/Cdkn1a/Slc25a33/Trp73/Pidd1/Rassf1/Rbm38/Tgfb1/Prkaca",13
"6","Upregulated","BP","GO:0046473","phosphatidic acid metabolic process","8/970","23/23328",2.4378024414525e-06,0.00175726068307181,0.00150372555964354,"Slc27a1/Abhd8/Dgka/Abhd4/Dgke/Dgkz/Dgkq/Dgkh",8
"7","Upregulated","BP","GO:1901342","regulation of vasculature development","35/970","356/23328",2.44792532965227e-06,0.00175726068307181,0.00150372555964354,"Rapgef3/Hdac7/Plcg1/Vash1/Egr1/Bmp4/Btg1/Rgcc/Ddah1/Ctsh/Hey2/Bmp7/Gata4/Tert/Gata6/Vegfa/Zc3h12a/Acvrl1/Adamts9/Plxnd1/Crhr2/Adgrb1/Anxa3/Plk2/E2f2/Tnfrsf12a/Adrb2/Rras/Klf5/Itgb1/Tnfrsf1a/Cth/Pdcd4/Sash1/Smad1",35
"8","Upregulated","BP","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","17/970","111/23328",3.32290536506571e-06,0.0020871999324319,0.00178606163372282,"Ei24/Bbc3/Cdkn1a/Tmem161a/Polb/Trp73/Nfatc4/Tnfrsf1b/Bid/Ddias/Zfp385a/Tnfrsf1a/Mbd4/Phlda3/Usp28/Hipk1/Shisa5",17
"9","Upregulated","BP","GO:0007050","cell cycle arrest","19/970","137/23328",4.10127241678654e-06,0.00228987709937249,0.00195949682135357,"Cdkn1b/Ddit3/Vash1/Rgcc/Rb1/Gata6/Whamm/Mdm4/Mdm2/Calr/Cdkn1a/Slc25a33/Trp73/Pidd1/Rassf1/Rbm38/Ddias/Tgfb1/Prkaca",19
"10","Upregulated","BP","GO:0031589","cell-substrate adhesion","34/970","351/23328",4.6990418010295e-06,0.00236126850501732,0.00202058797444268,"Msln/Micall2/Parvb/Bcan/Tmem8b/Lrp1/Sorbs3/Itga2b/Adam8/Utrn/Ephb3/Whamm/Vegfa/Sdc4/Acvrl1/Itga1/Adamts9/Bcam/BC024139/Prkce/Nid2/Calr/Atp1b2/Mslnl/Ptprk/Tnfrsf12a/Ap1ar/Nid1/Plekha2/Rras/Fn1/Mkln1/Itgb1/Lama5",34
"11","Upregulated","BP","GO:0006650","glycerophospholipid metabolic process","27/970","257/23328",1.02279146877656e-05,0.00440339941515365,0.00376808308162402,"Pla2g7/Gdpd3/Lpcat2/Acp6/Pik3c2b/Slc27a1/Abhd8/Tmem150a/Plcd4/Pigyl/Fig4/Etnk1/Dgka/Inpp5d/Abhd4/Pip4k2c/Dgke/Capn2/Pip4p1/Ttc7b/Serac1/Dgkz/Pla2g15/Pigf/Dgkq/Socs3/Dgkh",27
"12","Upregulated","BP","GO:0007160","cell-matrix adhesion","24/970","214/23328",1.05155806929042e-05,0.00440339941515365,0.00376808308162402,"Msln/Bcan/Tmem8b/Lrp1/Itga2b/Adam8/Utrn/Whamm/Vegfa/Sdc4/Acvrl1/Itga1/Adamts9/Bcam/BC024139/Nid2/Mslnl/Ptprk/Nid1/Plekha2/Rras/Fn1/Mkln1/Itgb1",24
"13","Upregulated","BP","GO:0071158","positive regulation of cell cycle arrest","9/970","36/23328",1.22272843452226e-05,0.0045397726908815,0.00388478061110258,"Rgcc/Gata6/Mdm2/Cdkn1a/Trp73/Pidd1/Rbm38/Tgfb1/Prkaca",9
"14","Upregulated","BP","GO:0007162","negative regulation of cell adhesion","29/970","290/23328",1.26481229198689e-05,0.0045397726908815,0.00388478061110258,"Mmp2/Bmp4/Rgcc/Lrp1/Adam8/Mad2l2/Plxnb2/Vegfa/Sdc4/Zc3h12a/Acvrl1/Lag3/Dscaml1/Tnfaip3/Plxnd1/Cyld/Jak3/Ap1ar/Loxl3/Plxna1/Casp3/Cdh1/Adrb2/Gpnmb/Ubash3b/Tgfb1/Prkcd/Twsg1/Wnk1",29
