"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rrs1",2501.79907974212,-0.92161333900968,0.424060650869314,-2.17467919583979,0.0296541649632476,0.140843046322014
"Adhfe1",50.8067132748376,2.03911806048089,0.701250165238901,2.86105778440667,0.00422230086725007,0.0384800897267922
"Mybl1",1280.75992889493,1.49466125519058,0.428572927829242,3.48373507485756,0.000494468674895893,0.00819161885148105
"Snhg6",1370.5511141051,1.19950171561596,0.418765850940698,2.86213748021031,0.00420794335784155,0.0383852440293169
"Sulf1",1114.20697528332,-2.55764826750426,0.485567746505242,-5.27778749205582,1.30752970163739e-07,1.34737822587777e-05
"Lactb2",3719.36173739555,1.65804062488512,0.436270010611283,3.79534809058116,0.000147436448990671,0.00333931238760925
"Eya1",97.8105356424744,1.6107822662074,0.638000976569204,2.50586876828465,0.0122150946908414,0.078994291852016
"Gm28376",356.610301667884,-1.17470002628848,0.503908556150222,-2.33346331368351,0.0196238416302557,0.107440843233076
"Pkhd1",221.442473161715,-1.33891314263067,0.52273996392312,-2.56260091670589,0.0103891390212491,0.07103348133328
"6720483E21Rik",19.2157142221815,1.84196827116338,0.785053358994319,2.25795196663549,0.0239486542326009,NA
"Efhc1",238.048249355143,2.73507907613975,0.549999924268326,4.94111512333914,7.76770245898275e-07,5.55679607313675e-05
"Tram2",675.174583763819,0.942752594955842,0.464882988065653,2.02600294483803,0.0427644828703845,0.180345156924439
"Smap1",865.28500848744,1.04204622118617,0.452371690606029,2.30133878437112,0.0213724891304785,0.113184622767465
"Tubb4b-ps2",1000.32663244482,-2.54474713470954,0.44168921417531,-5.76229504650058,8.29777761808946e-09,1.43651126124365e-06
"Gm28438",5819.85509536408,-1.21284545669312,0.402594107481048,-3.01469161394377,0.00257240664012172,0.0271711432298885
"Gm10925",68314.5869875328,-0.842717780684482,0.407559017485792,-2.06888515927687,0.0385568645497262,0.167809476424107
"Gm19028",3494.35736338042,-1.12948641340403,0.408780629011974,-2.7648919121845,0.00569416601689603,0.0480162698901628
"AC153137.1",54.486646736244,-1.4940104265589,0.704256669262229,-2.1390827562731,0.0324289666844086,0.148951085196647
"4931428L18Rik",140.588985188935,-1.32095430464713,0.57255543870332,-2.30928996596418,0.0209274960853803,0.11168212460854
"Gm6489",221.156933703949,-1.45328276095956,0.528541148741048,-2.75101631712481,0.00594106839269494,0.0492821159627862
"Bag2",122.587095182739,-1.30529750427745,0.588256497612159,-2.22156033015352,0.0263130332990126,0.130145259031729
"Gm15455",813.865039781027,-1.04933325234442,0.435800157814077,-2.4091086856741,0.0159915348854259,0.093750576341515
"Imp4",1736.18806666172,-1.42205996499337,0.423566337050202,-3.36006480056519,0.000779241929417945,0.0115365844088253
"Arhgef4",364.635102680257,1.96712073463888,0.480854734610376,4.0813290582761,4.47789054214559e-05,0.00138430787617186
"Plekhb2",1092.94789134032,2.06860019720651,0.425980945506949,4.84890734125896,1.24143388707082e-06,8.14079676248868e-05
"Kansl3",3205.62812248283,1.0760322252296,0.409058816544248,2.62877355911222,0.00856934010437404,0.0623329478516485
"Fam178b",1447.07582257894,0.917601067582375,0.425228422322109,2.15651566519487,0.031043421898267,0.145200164081665
"Zap70",209.322713503357,2.12887231075528,0.531003757712836,3.99305729257138,6.52268002565853e-05,0.00182389788502627
"Tmem131",10024.4440555696,1.17882533196206,0.399097948457408,2.95176558380504,0.00315962698676704,0.0313129261915719
"Vwa3b",1252.13386321713,0.90115460877651,0.431838791320795,2.08538775005915,0.0370341178900236,0.163263215918535
"Inpp4a",1227.89056376872,2.37498754342912,0.440967844567079,5.37508487401155,7.65466162681762e-08,8.71690381708029e-06
"Tsga10",241.204008143761,1.71127090058428,0.520465722849861,3.2785486908933,0.00104342361748332,0.0141233382844967
"Txndc9",1909.89817140742,-1.10058107832745,0.412986285381172,-2.66650953788064,0.00766434316046369,0.0584043637438409
"Rev1",4021.36620557867,1.69084785656524,0.413149831091347,4.0881483869973,4.3482999322243e-05,0.00136167327553503
"Lonrf2",34.5911424558736,-1.53102576268371,0.760546455566221,-2.06932923129413,0.0385152023960151,0.167782240251977
"Chst10",256.761373116317,-1.75557524677325,0.58213772048568,-3.02631288918511,0.00247555985420257,0.0265892675243511
"Tbc1d8",1093.81821078036,2.14154046484013,0.464894902599474,4.59604729317711,4.30581008311156e-06,0.0002121067505063
"Gm15832",248.818239020329,1.286639293482,0.510164691566203,2.51729540372401,0.0118259630913899,0.0773737993341427
"Mrps9",2630.23035000717,1.01656705629525,0.410464793720337,2.47507131864671,0.0133209572126406,0.0834041270398674
"1500015O10Rik",10.951840332833,-1.29647078387831,0.765453874917274,-2.29036436551657,0.0220002034372393,NA
"Gm8251",11.9036357168559,-1.38367822681195,0.771083614957059,-2.37265930043103,0.017660545747227,NA
"Ercc5",2141.01170034676,0.905992129485178,0.41079478937891,2.20424050673955,0.0275074344494233,0.134332497937494
"Gm7063",362.734528115423,-1.390295276068,0.506306932316038,-2.74881571275549,0.00598110035696543,0.0495904259481732
"Slc40a1",654.990616932637,-3.09119542388086,0.512647837186635,-6.02779692077279,1.66209710699359e-09,3.8365633488364e-07
"Gm8326",1571.55931030033,-0.926576438889323,0.434972952185103,-2.13160165283941,0.0330396077674002,0.150836952788789
"Gm8337",3049.25014344079,-0.970402362540456,0.417183487129726,-2.32754079642468,0.0199365002924853,0.108432514314642
"Myo1b",3044.40695728889,1.20409449377557,0.431164711222624,2.79004005542335,0.00527015210523476,0.0453689076309419
"Nemp2",887.057133292558,1.58097211252275,0.431922985349645,3.65603356296852,0.000256147832898322,0.00501632498092279
"1700019A02Rik",189.219935435083,-1.48741800876205,0.56372337524113,-2.64226379825444,0.00823538850950612,0.0608757668132238
"Hecw2",742.08620429313,-1.33082257597421,0.44534321112472,-2.99020710548056,0.00278788352492412,0.0287799037656356
"Ccdc150",65.873606287853,-1.34538410688352,0.675618550832285,-2.00169671578835,0.0453173598452779,0.187061071445267
"Mob4",1907.04464597309,0.925386288716277,0.418519295436943,2.20973990907293,0.0271232182802038,0.132868464874615
"9130227L01Rik",36.2160269299272,-1.76904004548611,0.750105638446597,-2.39713287123935,0.0165239305135384,0.0959940553860325
"Tyw5",762.798501131867,1.25534825352693,0.438561429831711,2.85965098639696,0.00424107475810661,0.0386225598171182
"Aox1",115.671458786127,1.57063545888173,0.596844014800704,2.61828254949285,0.00883735963200505,0.0636614685206137
"Gm37607",66.9989246519124,-2.29800774018321,0.689390218807716,-3.31511971994233,0.000916038835905489,0.0129494526723396
"Clk1",5264.66556419614,1.7980215999305,0.411493565275885,4.36455399712764,1.27382382820886e-05,0.000496676534098013
"Nif3l1",1883.70527985292,-1.75037030356783,0.445188923740387,-3.93698651470158,8.25112418447122e-05,0.00216102060335198
