"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Upregulated","BP","GO:0031589","cell-substrate adhesion","69/2120","351/23328",6.44119863170192e-10,2.09288132502051e-06,1.75847815512756e-06,"Msln/Micall2/Adam8/BC024139/Bcan/Parvb/Itga2b/Whamm/Tmem8b/Sorbs3/Lrp1/Sdc4/Rras/Gas6/Plekha2/Itgb4/Adamts9/Nid1/Itgb2/Mslnl/Ephb3/Unc13d/Utrn/Col5a3/Lamc3/Vegfa/Lama5/Srcin1/Adam9/Itga1/Tsc1/Bcam/Nf1/Nid2/Parva/Tnfrsf12a/Ap1ar/Acvrl1/Efna1/Fn1/Arpc2/Jak2/Itgav/Npnt/Mertk/Prkce/Macf1/Lamb3/Atp1b2/Mkln1/Dock1/Fndc3b/Calr/Cntn2/Lamb2/Axl/Ptprk/Fer/Rhod/Dnm2/Fermt3/Bcas3/Srgap2/Mink1/Itgb1/Spock2/Epb41l5/Trpm7/Itga5",69
"2","Upregulated","BP","GO:0006644","phospholipid metabolic process","72/2120","374/23328",7.21310124080822e-10,2.09288132502051e-06,1.75847815512756e-06,"Plcg1/Pla2g7/Gdpd3/Acp6/Agpat4/Lpcat2/Pip4k2c/Pip4p1/Plcd4/Pik3c2b/Dgka/Inpp5d/Serac1/Agpat5/Ttc7b/Fdft1/Fdps/Hexb/Wdr91/Dgke/Pigf/Gm28042/Gata6/Tmem38b/Sacm1l/Pnpla3/Serinc2/Prkcd/Slc27a1/Fam126a/Aspg/Dgkq/Ip6k2/Pigb/Dgkh/Tmem150a/Cln3/Plch2/Taz/Pign/Mtmr10/Mboat2/Dgkz/Ip6k1/Fig4/Atg14/Acsl6/Gde1/Etnk1/Abhd5/Mtm1/Pik3ip1/Smpd2/Vav2/Inpp5k/Abca2/Abhd4/Abhd8/Capn2/Gnpat/Itpkc/Lpcat3/Pmvk/Tamm41/Cd81/Cept1/Pnpla7/Pi4ka/Abhd12/Acsl3/Smg1/Pi4k2b",72
"3","Upregulated","BP","GO:0045786","negative regulation of cell cycle","81/2120","451/23328",1.9876141403729e-09,3.84470828552797e-06,3.23039603445869e-06,"Rbl2/Rgcc/Btg1/Ddit3/Whamm/Cdkn1b/Bmp7/Camk2n1/Slc25a33/Susd2/Orc1/Npr2/Hormad1/Mdm4/Gpnmb/Rb1/Mdm2/Tpra1/Trp73/Rhno1/Rbm38/Zwilch/Vash1/Nupr1/Casp2/Gata6/Pkd1/Pttg1/Mdm1/Nae1/Mtbp/Usp28/Pcid2/Inca1/Ccp110/Egfr/Nek1/Kmt2e/Bin1/Dgkz/Calr/Rassf1/Btg3/Mlxipl/Brd7/Ptprk/Thoc1/Heca/Kifc1/Blm/Ttk/Casp3/Prr11/Plk2/Bub1/Foxm1/Prkdc/Map3k20/Pidd1/Cep192/Sgsm3/Tsg101/Plk5/Miip/Apbb2/Mbd4/Eif2ak4/Cdk2ap2/Dlg1/Bcl2l1/Lcmt1/Cdkn1a/Bub1b/Nr4a1/Cdk5rap1/Prkaca/Ak1/Pnpt1/Tnks/Rfwd3/Dync1li1",81
"4","Upregulated","BP","GO:1990778","protein localization to cell periphery","68/2120","363/23328",6.82188539798868e-09,9.89685024113208e-06,8.31551925354831e-06,"Stx7/Wnt3a/Lrp1/Map7/Ldlrap1/Misp/Tspan33/Gas6/Grasp/Tmem59/Ttc7b/Vamp2/Grin2c/Scn3b/Rab3a/Tspan14/Lama5/Kalrn/Gpc6/Tspan15/Fam126a/C2cd5/Tesc/Bbs2/Egfr/Atp1b1/Flot1/Sec23a/Stac2/Adcy6/D230025D16Rik/Appl1/Tmem150a/Adam22/Cln3/Iqsec2/Palm/Rap1a/Cnst/Slmap/Lgals3/Camk2a/Rab29/Rock2/Fcho2/Flot2/Ppil2/Rab12/Rab11a/Epb41l2/Inpp5k/Kif1b/Pacsin1/Clip1/Gga1/Abca2/Pacs2/Ank3/Cd81/Itgb1/Snap23/Golga4/Ikbkb/Dlg1/Bcl2l1/Actr3/Epb41/Acsl3",68
"5","Upregulated","BP","GO:0006898","receptor-mediated endocytosis","50/2120","240/23328",2.04515522918405e-08,2.37360715899101e-05,1.99434926770117e-05,"Dnm1/Wnt3a/Cd300a/Lrp1/Ankrd13d/Tpcn2/Ldlrap1/Cxcl16/Hap1/Itgb2/Bmp2k/Hspg2/Fcho1/Ap1g1/Vegfa/Ahi1/Sorl1/Myo6/Dll1/Necab2/Napb/Ppp3r1/Sfrp4/Scarb2/Flot1/Dnajc6/Arc/Cln3/Lmbr1l/Gpr107/Mkln1/Pard3/Cntn2/Fcho2/Wasl/AU040320/Tmem108/Tfr2/Atxn2/Cd2ap/Pacsin1/Fchsd2/Dnm2/Syk/Smap1/Abca2/Cd81/Itgb1/Cd9/Clu",50
"6","Upregulated","BP","GO:0030258","lipid modification","51/2120","250/23328",3.05930228819806e-08,2.95885519640222e-05,2.48608564893569e-05,"Pdk4/St3gal4/Pla2g7/Acaa1b/Acox3/Sirt4/Pip4p1/Pik3c2b/Dgka/Inpp5d/Gcdh/Ttc7b/Dgke/Slc25a17/Appl2/Pex7/Sacm1l/Dgki/B4galnt1/Fam126a/Echs1/Plpp5/Acaa2/Dgkq/Abcd4/Ip6k2/Dgkh/Tmem150a/Mtmr10/Mboat2/Dgkz/Ip6k1/Prkaa1/Mtm1/Dgat1/Cpt1a/Auh/Inpp5k/Abcg1/Abca2/Pex5/Itpkc/Lpcat3/Acat1/Acads/Acadl/Hsd17b4/Etfa/Pi4ka/Smg1/Pi4k2b",51
"7","Upregulated","BP","GO:0046486","glycerolipid metabolic process","65/2120","360/23328",6.24642849922198e-08,5.17828922585502e-05,4.35089576066109e-05,"Pla2g7/Gdpd3/Acp6/Lpcat2/Pip4k2c/Apobec1/Lpin1/Pip4p1/Plcd4/Pik3c2b/Dgka/Inpp5d/Serac1/Agpat5/Ttc7b/Dgke/Pigf/Gm28042/Sorl1/Slc27a5/Sacm1l/Apoc1/Pnpla3/Dgki/Serinc2/Slc27a1/Fam126a/Dgkq/Ip6k2/Pigb/Dgkh/Tmem150a/Cln3/Plch2/Taz/Pign/Mtmr10/Dgkz/Ip6k1/Fig4/Atg14/Acsl6/Liph/Etnk1/Abhd5/Mtm1/Pank2/Dgat1/Cpt1a/Inpp5k/Abhd4/Abhd8/Capn2/Itpkc/Lpcat3/Tamm41/Insig1/Cept1/Pnpla7/Pi4ka/Abhd12/Acsl3/Smg1/Abhd2/Pi4k2b",65
"8","Upregulated","BP","GO:0072659","protein localization to plasma membrane","56/2120","295/23328",8.96899418122577e-08,6.50588415420665e-05,5.46636592729445e-05,"Stx7/Wnt3a/Lrp1/Map7/Ldlrap1/Tspan33/Gas6/Grasp/Tmem59/Ttc7b/Vamp2/Scn3b/Rab3a/Tspan14/Lama5/Kalrn/Tspan15/Fam126a/C2cd5/Tesc/Bbs2/Egfr/Atp1b1/Flot1/Sec23a/Stac2/Adcy6/D230025D16Rik/Appl1/Tmem150a/Cln3/Palm/Rap1a/Cnst/Slmap/Lgals3/Camk2a/Rock2/Fcho2/Flot2/Ppil2/Rab12/Rab11a/Inpp5k/Pacsin1/Gga1/Pacs2/Ank3/Cd81/Itgb1/Golga4/Ikbkb/Dlg1/Bcl2l1/Actr3/Acsl3",56
"9","Upregulated","BP","GO:0048193","Golgi vesicle transport","52/2120","268/23328",1.24018167069258e-07,7.99641581669895e-05,6.71873859490999e-05,"Kdelr3/Whamm/Exoc4/Vamp2/Mapk15/Wipi1/Ccdc93/Ap1g1/Sorl1/Cog2/Sec24a/Ergic2/Bbs2/Ap1ar/Sec23a/D230025D16Rik/Cln3/Bnip1/Atp9a/Cnst/Myo1b/Ergic1/Htt/Nrbp2/Copg2/Dop1b/Rab6b/Slc30a6/Rab14/Snx2/Vps41/Dnm2/Gga1/Exoc1/Arfgap3/Cnih4/Cog5/Lamp1/Arfgap2/Myo18a/Ank3/Slc10a7/Gbf1/Insig1/Golga4/Uvrag/Trappc11/Ergic3/Snx8/Acsl3/Exoc6b/Cope",52
"10","Upregulated","BP","GO:0006650","glycerophospholipid metabolic process","50/2120","257/23328",1.97259218738859e-07,9.0943568484957e-05,7.64124924897868e-05,"Pla2g7/Gdpd3/Acp6/Lpcat2/Pip4k2c/Pip4p1/Plcd4/Pik3c2b/Dgka/Inpp5d/Serac1/Ttc7b/Dgke/Pigf/Gm28042/Sacm1l/Pnpla3/Serinc2/Slc27a1/Fam126a/Dgkq/Ip6k2/Pigb/Dgkh/Tmem150a/Cln3/Plch2/Taz/Pign/Mtmr10/Dgkz/Ip6k1/Fig4/Etnk1/Abhd5/Mtm1/Inpp5k/Abhd4/Abhd8/Capn2/Itpkc/Lpcat3/Tamm41/Cept1/Pnpla7/Pi4ka/Abhd12/Acsl3/Smg1/Pi4k2b",50
