
from	to	edge_flow
GSM1112757_midblast_3-2	t	15.699161044537444
GSM1112707_midblast_1-10	GSM1112757_midblast_3-2	0.18662966210989135
GSM1112715_midblast_1-18	GSM1112757_midblast_3-2	0.36
GSM1112765_midblast_3-9	GSM1112757_midblast_3-2	0.0333333333333333
GSM1112764_midblast_3-8	GSM1112757_midblast_3-2	0.5224775721099251
GSM1112762_midblast_3-6	GSM1112757_midblast_3-2	0.6180140448486597
GSM1112736_midblast_2-17	GSM1112757_midblast_3-2	0.484848484848485
GSM1112751_midblast_3-12	GSM1112757_midblast_3-2	0.0571428571428571
GSM1112749_midblast_3-10	GSM1112757_midblast_3-2	0.6917612161661103
GSM1112760_midblast_3-4	GSM1112757_midblast_3-2	0.857142857142857
GSM1112708_midblast_1-11	GSM1112757_midblast_3-2	0.533333333333333
GSM1112711_midblast_1-14	GSM1112757_midblast_3-2	0.607142857142857
GSM1112763_midblast_3-7	GSM1112757_midblast_3-2	0.413793103448276
GSM1112758_midblast_3-23	GSM1112757_midblast_3-2	0.4342105263157896
GSM1112712_midblast_1-15	GSM1112757_midblast_3-2	0.695652173913043
GSM1112761_midblast_3-5	GSM1112757_midblast_3-2	0.9
GSM1112722_midblast_1-3	GSM1112757_midblast_3-2	0.518518518518518
GSM1112759_midblast_3-3	GSM1112757_midblast_3-2	0.818181818181818
GSM1112756_midblast_3-18	GSM1112757_midblast_3-2	0.782608695652174
GSM1112731_midblast_2-12	GSM1112707_midblast_1-10	0.04740024256737847
GSM1112670_lateblast_1-2	GSM1112707_midblast_1-10	0.0857142857142857
GSM1112763_midblast_3-7	GSM1112707_midblast_1-10	0.4585451638582571
GSM1112669_lateblast_1-19	GSM1112707_midblast_1-10	0.0810810810810811
GSM1112611_earlyblast_2-1	GSM1112707_midblast_1-10	0.138888888888889
GSM1112672_lateblast_1-21	GSM1112731_midblast_2-12	0.0857142857142857
GSM1112731_midblast_2-12	GSM1112712_midblast_1-15	0.535714285714286
GSM1112618_earlyblast_2-2	GSM1112731_midblast_2-12	0.263157894736842
GSM1112731_midblast_2-12	GSM1112749_midblast_3-10	0.419354838709677
GSM1112731_midblast_2-12	GSM1112759_midblast_3-3	0.419354838709677
GSM1112613_earlyblast_2-12	GSM1112731_midblast_2-12	0.235294117647059
GSM1112731_midblast_2-12	GSM1112756_midblast_3-18	0.451612903225806
GSM1112624_earlyblast_2-7	GSM1112731_midblast_2-12	0.189189189189189
GSM1112730_midblast_2-11	GSM1112731_midblast_2-12	0.481481481481481
GSM1112620_earlyblast_2-3	GSM1112731_midblast_2-12	0.153846153846154
GSM1112611_earlyblast_2-1	GSM1112731_midblast_2-12	0.375
GSM1112638_earlyblast_3-7	GSM1112731_midblast_2-12	0.171428571428571
GSM1112647_earlyblast_4-18	GSM1112731_midblast_2-12	0.170731707317073
GSM1112681_lateblast_1-8	GSM1112672_lateblast_1-21	0.02810526540365267
GSM1112682_lateblast_1-9	GSM1112672_lateblast_1-21	0.407407407407407
GSM1112672_lateblast_1-21	GSM1112763_midblast_3-7	0.193548387096774
GSM1112672_lateblast_1-21	GSM1112764_midblast_3-8	0.15625
GSM1112686_lateblast_2-16	GSM1112681_lateblast_1-8	0.06383341787142192
GSM1112664_lateblast_1-10	GSM1112681_lateblast_1-8	0.020630048718018018
GSM1112681_lateblast_1-8	GSM1112673_lateblast_1-23	0.05635820118578727
GSM1112683_lateblast_2-1	GSM1112686_lateblast_2-16	0.08103501787701572
GSM1112686_lateblast_2-16	GSM1112693_lateblast_2-9	0.383936567818147
