
from	to	edge_flow
GSM1278015_16cell_split2a	t	0.8623712673109664
GSM1278030_8cell_2pooled_split9a	GSM1278015_16cell_split2a	0.2172152738791109
GSM1278020_8cell_12-4_smartseq2	GSM1278015_16cell_split2a	0.2451559934318555
GSM1278012_16cell_2pooled_split8b	GSM1278015_16cell_split2a	0.4
GSM1278012_16cell_2pooled_split8b	GSM1278030_8cell_2pooled_split9a	0.2172152738791109
GSM1278013_16cell_split1a	GSM1278012_16cell_2pooled_split8b	0.021313214731340374
GSM1278010_16cell_2pooled_split6b	GSM1278012_16cell_2pooled_split8b	0.1825620084694497
GSM1278011_16cell_2pooled_split8a	GSM1278012_16cell_2pooled_split8b	0.135135135135135
GSM1278014_16cell_split1b	GSM1278012_16cell_2pooled_split8b	0.1210345803329233
GSM1278009_16cell_2pooled_split6a	GSM1278012_16cell_2pooled_split8b	0.15717033521026258
GSM1112538_16cell_6-8	GSM1278013_16cell_split1a	0.021313214731340374
GSM1112519_16cell_5-13	GSM1112538_16cell_6-8	0.1859649122807018
GSM1112538_16cell_6-8	GSM1278011_16cell_2pooled_split8a	0.135135135135135
GSM1112529_16cell_6-10	GSM1112538_16cell_6-8	0.013325652841782012
GSM1112539_16cell_6-9	GSM1112538_16cell_6-8	0.0606060606060606
GSM1112538_16cell_6-8	GSM1278014_16cell_split1b	0.03678160919540231
GSM1112538_16cell_6-8	GSM1278010_16cell_2pooled_split6b	0.0666666666666667
GSM1112576_8cell_8-2	GSM1112519_16cell_5-13	0.1333333333333334
GSM1112579_8cell_8-6	GSM1112519_16cell_5-13	0.0526315789473684
GSM1112575_8cell_8-1	GSM1112576_8cell_8-2	0.0666666666666667
GSM1112578_8cell_8-4	GSM1112576_8cell_8-2	0.0666666666666667
GSM1112577_8cell_8-3	GSM1112575_8cell_8-1	0.0666666666666667
GSM1112676_lateblast_1-27	GSM1112577_8cell_8-3	0.018000507386374674
GSM1112674_lateblast_1-24	GSM1112577_8cell_8-3	0.0645161290322581
GSM1112577_8cell_8-3	GSM1112579_8cell_8-6	0.0526315789473684
GSM1112665_lateblast_1-11	GSM1112577_8cell_8-3	0.103448275862069
GSM1112577_8cell_8-3	GSM1112578_8cell_8-4	0.0666666666666667
GSM1112747_midblast_2-9	GSM1112676_lateblast_1-27	0.018000507386374674
GSM1112734_midblast_2-15	GSM1112747_midblast_2-9	0.018000507386374674
GSM1112724_midblast_1-5	GSM1112734_midblast_2-15	0.018000507386374674
s	GSM1112724_midblast_1-5	0.8623712673109664
GSM1112724_midblast_1-5	GSM1112714_midblast_1-17	0.25012218963831867
GSM1112724_midblast_1-5	GSM1112723_midblast_1-4	0.0571428571428571
GSM1112724_midblast_1-5	GSM1112720_midblast_1-23	0.16796440489432712
GSM1112724_midblast_1-5	GSM1112737_midblast_2-18	0.3691413082490889
GSM1278032_8cell_split3a	GSM1278020_8cell_12-4_smartseq2	0.17619047619047612
GSM1278033_8cell_split3b	GSM1278020_8cell_12-4_smartseq2	0.06896551724137939
GSM1112529_16cell_6-10	GSM1278032_8cell_split3a	0.0333333333333333
GSM1112506_16cell_4-11	GSM1278032_8cell_split3a	0.0714285714285714
GSM1112746_midblast_2-8	GSM1112529_16cell_6-10	0.0625
GSM1112529_16cell_6-10	GSM1112506_16cell_4-11	0.07834101382488469
GSM1112714_midblast_1-17	GSM1112746_midblast_2-8	0.25012218963831867
GSM1112746_midblast_2-8	GSM1112506_16cell_4-11	0.0645161290322581
GSM1112746_midblast_2-8	GSM1112539_16cell_6-9	0.0606060606060606
GSM1112506_16cell_4-11	GSM1278033_8cell_split3b	0.0344827586206897
GSM1112574_8cell_5-8	GSM1112506_16cell_4-11	0.06896551724137939
GSM1112530_16cell_6-11	GSM1278010_16cell_2pooled_split6b	0.11589534180278299
GSM1112535_16cell_6-5	GSM1112530_16cell_6-11	0.0689655172413793
GSM1112505_16cell_4-10	GSM1112530_16cell_6-11	0.09892473118279568
GSM1112530_16cell_6-11	GSM1278014_16cell_split1b	0.08425297113752099
GSM1112522_16cell_5-4	GSM1112530_16cell_6-11	0.09892473118279568
GSM1112530_16cell_6-11	GSM1278009_16cell_2pooled_split6a	0.0666666666666667
GSM1112507_16cell_4-2	GSM1112535_16cell_6-5	0.0689655172413793
GSM1112722_midblast_1-3	GSM1112507_16cell_4-2	0.0571428571428571
GSM1112507_16cell_4-2	GSM1112505_16cell_4-10	0.0666666666666667
GSM1112745_midblast_2-7	GSM1112507_16cell_4-2	0.125
GSM1112507_16cell_4-2	GSM1112522_16cell_5-4	0.0666666666666667
GSM1112650_earlyblast_4-5	GSM1112507_16cell_4-2	0.137931034482759
GSM1112507_16cell_4-2	GSM1112603_early2cell_0r-1	0.0512820512820513
GSM1112507_16cell_4-2	GSM1112606_early2cell_1-2	0.0555555555555556
GSM1112507_16cell_4-2	GSM1112604_early2cell_0r-2	0.0526315789473684
GSM1112630_earlyblast_3-14	GSM1112507_16cell_4-2	0.04169414473407188
GSM1112758_midblast_3-23	GSM1112722_midblast_1-3	0.0571428571428571
GSM1112723_midblast_1-4	GSM1112758_midblast_3-23	0.0571428571428571
GSM1112687_lateblast_2-17	GSM1112505_16cell_4-10	0.032258064516129
GSM1112720_midblast_1-23	GSM1112674_lateblast_1-24	0.16796440489432712
GSM1112674_lateblast_1-24	GSM1112665_lateblast_1-11	0.103448275862069
GSM1112687_lateblast_2-17	GSM1112522_16cell_5-4	0.032258064516129
GSM1112683_lateblast_2-1	GSM1112687_lateblast_2-17	0.064516129032258
GSM1112752_midblast_3-13	GSM1112683_lateblast_2-1	0.064516129032258
GSM1112737_midblast_2-18	GSM1112752_midblast_3-13	0.064516129032258
GSM1112737_midblast_2-18	GSM1112741_midblast_2-3	0.105263157894737
GSM1112737_midblast_2-18	GSM1112743_midblast_2-5	0.19936202132209388
GSM1112741_midblast_2-3	GSM1112745_midblast_2-7	0.105263157894737
GSM1112743_midblast_2-5	GSM1112745_midblast_2-7	0.105263157894737
GSM1112745_midblast_2-7	GSM1112650_earlyblast_4-5	0.137931034482759
GSM1112742_midblast_2-4	GSM1112745_midblast_2-7	0.09409886342735688
GSM1112745_midblast_2-7	GSM1112630_earlyblast_3-14	0.04169414473407188
GSM1112534_16cell_6-4	GSM1278009_16cell_2pooled_split6a	0.0905036685435959
GSM1112743_midblast_2-5	GSM1112742_midblast_2-4	0.09409886342735688
GSM1112562_8cell_2-2	GSM1112574_8cell_5-8	0.06896551724137939
GSM1112552_4cell_4-3	GSM1112562_8cell_2-2	0.1594691857849753
GSM1112562_8cell_2-2	GSM1112581_8cell_8-8	0.0905036685435959
GSM1112662_late2cell_9-1	GSM1112552_4cell_4-3	0.1594691857849753
GSM1112660_late2cell_8-1	GSM1112662_late2cell_9-1	0.1594691857849753
GSM1112702_mid2cell_6-1	GSM1112660_late2cell_8-1	0.1594691857849753
GSM1112603_early2cell_0r-1	GSM1112702_mid2cell_6-1	0.0512820512820513
GSM1112606_early2cell_1-2	GSM1112702_mid2cell_6-1	0.0555555555555556
GSM1112604_early2cell_0r-2	GSM1112702_mid2cell_6-1	0.0526315789473684
GSM1112518_16cell_5-12	GSM1112534_16cell_6-4	0.0905036685435959
GSM1112580_8cell_8-7	GSM1112518_16cell_5-12	0.0905036685435959
GSM1112581_8cell_8-8	GSM1112580_8cell_8-7	0.0905036685435959
