path	path_cost	path_flow	source	sink	rank	length
s->GSM1112757_midblast_3-2->GSM1112722_midblast_1-3->GSM1112507_16cell_4-2->GSM1112603_early2cell_0r-1->GSM1112702_mid2cell_6-1->GSM1112701_mid2cell_5-2->t	8.116532372421744	0.44083513166705013	GSM1112757_midblast_3-2	GSM1112701_mid2cell_5-2	0.06297644738100716	7
s->GSM1112757_midblast_3-2->GSM1112722_midblast_1-3->GSM1112507_16cell_4-2->GSM1112606_early2cell_1-2->GSM1112702_mid2cell_6-1->GSM1112701_mid2cell_5-2->t	8.143352810290569	0.44938214021405865	GSM1112757_midblast_3-2	GSM1112701_mid2cell_5-2	0.06419744860200838	7
s->GSM1112757_midblast_3-2->GSM1112736_midblast_2-17->GSM1112650_earlyblast_4-5->GSM1112507_16cell_4-2->GSM1112604_early2cell_0r-2->GSM1112702_mid2cell_6-1->GSM1112701_mid2cell_5-2->t	8.95047321036489	0.7619137365961328	GSM1112757_midblast_3-2	GSM1112701_mid2cell_5-2	0.0952392170745166	8
s->GSM1112757_midblast_3-2->GSM1112736_midblast_2-17->GSM1112650_earlyblast_4-5->GSM1112507_16cell_4-2->GSM1112606_early2cell_1-2->GSM1112702_mid2cell_6-1->GSM1112701_mid2cell_5-2->t	8.938730613499406	0.7677616898125073	GSM1112757_midblast_3-2	GSM1112701_mid2cell_5-2	0.0959702112265634	8
s->GSM1112757_midblast_3-2->GSM1112715_midblast_1-18->GSM1112723_midblast_1-4->GSM1112746_midblast_2-8->GSM1112529_16cell_6-10->GSM1112560_8cell_1-8->GSM1112503_16cell_1-9->GSM1112581_8cell_8-8->GSM1112562_8cell_2-2->GSM1112541_4cell_1-2->GSM1112662_late2cell_9-1->GSM1112660_late2cell_8-1->GSM1112701_mid2cell_5-2->t	15.430063571065137	1.9585916270111725	GSM1112757_midblast_3-2	GSM1112701_mid2cell_5-2	0.13989940192936948	14
s->GSM1112757_midblast_3-2->GSM1112715_midblast_1-18->GSM1112754_midblast_3-15->GSM1112746_midblast_2-8->GSM1112529_16cell_6-10->GSM1112560_8cell_1-8->GSM1112503_16cell_1-9->GSM1112581_8cell_8-8->GSM1112562_8cell_2-2->GSM1112541_4cell_1-2->GSM1112662_late2cell_9-1->GSM1112660_late2cell_8-1->GSM1112701_mid2cell_5-2->t	15.370844211405167	2.0131566851211047	GSM1112757_midblast_3-2	GSM1112701_mid2cell_5-2	0.14379690608007892	14
s->GSM1112757_midblast_3-2->GSM1112758_midblast_3-23->GSM1112723_midblast_1-4->GSM1112746_midblast_2-8->GSM1112539_16cell_6-9->GSM1112495_16cell_1-15->GSM1112574_8cell_5-8->GSM1112562_8cell_2-2->GSM1112552_4cell_4-3->GSM1112662_late2cell_9-1->GSM1112660_late2cell_8-1->GSM1112701_mid2cell_5-2->t	14.891612953057397	2.157098754527012	GSM1112757_midblast_3-2	GSM1112701_mid2cell_5-2	0.16593067342515477	13
s->GSM1112757_midblast_3-2->GSM1112758_midblast_3-23->GSM1112723_midblast_1-4->GSM1112746_midblast_2-8->GSM1112529_16cell_6-10->GSM1112560_8cell_1-8->GSM1112503_16cell_1-9->GSM1112581_8cell_8-8->GSM1112562_8cell_2-2->GSM1112552_4cell_4-3->GSM1112662_late2cell_9-1->GSM1112660_late2cell_8-1->GSM1112701_mid2cell_5-2->t	14.99564333521662	2.168129718610172	GSM1112757_midblast_3-2	GSM1112701_mid2cell_5-2	0.15486640847215513	14
s->GSM1112757_midblast_3-2->GSM1112715_midblast_1-18->GSM1112754_midblast_3-15->GSM1112746_midblast_2-8->GSM1112529_16cell_6-10->GSM1112560_8cell_1-8->GSM1112503_16cell_1-9->GSM1112581_8cell_8-8->GSM1112562_8cell_2-2->GSM1112551_4cell_4-2->GSM1112662_late2cell_9-1->GSM1112660_late2cell_8-1->GSM1112701_mid2cell_5-2->t	15.336023964212416	2.2381841650711514	GSM1112757_midblast_3-2	GSM1112701_mid2cell_5-2	0.15987029750508225	14
s->GSM1112757_midblast_3-2->GSM1112715_midblast_1-18->GSM1112754_midblast_3-15->GSM1112746_midblast_2-8->GSM1112529_16cell_6-10->GSM1112560_8cell_1-8->GSM1112503_16cell_1-9->GSM1112581_8cell_8-8->GSM1112562_8cell_2-2->GSM1112551_4cell_4-2->GSM1112662_late2cell_9-1->GSM1112660_late2cell_8-1->GSM1112701_mid2cell_5-2->t	15.336023964212416	2.2381841650711514	GSM1112757_midblast_3-2	GSM1112701_mid2cell_5-2	0.15987029750508225	14
