
from	to	edge_flow
GSM1112701_mid2cell_5-2	t	0.8623712673109666
GSM1112702_mid2cell_6-1	GSM1112701_mid2cell_5-2	0.1594691857849753
GSM1112660_late2cell_8-1	GSM1112701_mid2cell_5-2	0.7029020815259913
GSM1112603_early2cell_0r-1	GSM1112702_mid2cell_6-1	0.0512820512820513
GSM1112606_early2cell_1-2	GSM1112702_mid2cell_6-1	0.0555555555555556
GSM1112604_early2cell_0r-2	GSM1112702_mid2cell_6-1	0.0526315789473684
GSM1112507_16cell_4-2	GSM1112603_early2cell_0r-1	0.0512820512820513
GSM1112722_midblast_1-3	GSM1112507_16cell_4-2	0.0571428571428571
GSM1112507_16cell_4-2	GSM1112606_early2cell_1-2	0.0555555555555556
GSM1112507_16cell_4-2	GSM1112604_early2cell_0r-2	0.0526315789473684
GSM1112650_earlyblast_4-5	GSM1112507_16cell_4-2	0.137931034482759
GSM1112507_16cell_4-2	GSM1112505_16cell_4-10	0.0666666666666667
GSM1112745_midblast_2-7	GSM1112507_16cell_4-2	0.125
GSM1112507_16cell_4-2	GSM1112522_16cell_5-4	0.0666666666666667
GSM1112507_16cell_4-2	GSM1112535_16cell_6-5	0.0689655172413793
GSM1112648_earlyblast_4-2	GSM1112507_16cell_4-2	0.041694144734071875
GSM1112757_midblast_3-2	GSM1112722_midblast_1-3	0.12165898617511509
GSM1112722_midblast_1-3	GSM1112687_lateblast_2-17	0.064516129032258
s	GSM1112757_midblast_3-2	0.8623712673109666
GSM1112757_midblast_3-2	GSM1112736_midblast_2-17	0.17962517921683088
GSM1112757_midblast_3-2	GSM1112715_midblast_1-18	0.1711748212172661
GSM1112757_midblast_3-2	GSM1112758_midblast_3-23	0.0789473684210526
GSM1112757_midblast_3-2	GSM1112711_midblast_1-14	0.18596491228070178
GSM1112757_midblast_3-2	GSM1112708_midblast_1-11	0.125
GSM1112736_midblast_2-17	GSM1112650_earlyblast_4-5	0.17962517921683088
GSM1112650_earlyblast_4-5	GSM1112648_earlyblast_4-2	0.041694144734071875
GSM1112662_late2cell_9-1	GSM1112660_late2cell_8-1	0.2743306529545622
GSM1112541_4cell_1-2	GSM1112662_late2cell_9-1	0.05584325799657913
GSM1112552_4cell_4-3	GSM1112662_late2cell_9-1	0.310344827586207
GSM1112551_4cell_4-2	GSM1112662_late2cell_9-1	0.013184584178499
GSM1112562_8cell_2-2	GSM1112541_4cell_1-2	0.05584325799657913
GSM1112581_8cell_8-8	GSM1112562_8cell_2-2	0.1776315789473684
GSM1112562_8cell_2-2	GSM1112552_4cell_4-3	0.323529411764706
GSM1112574_8cell_5-8	GSM1112562_8cell_2-2	0.1251221896383187
GSM1112562_8cell_2-2	GSM1112551_4cell_4-2	0.323529411764706
GSM1112575_8cell_8-1	GSM1112562_8cell_2-2	0.0666666666666667
GSM1112578_8cell_8-4	GSM1112562_8cell_2-2	0.0666666666666667
GSM1112573_8cell_5-7	GSM1112562_8cell_2-2	0.26681497960697065
GSM1112503_16cell_1-9	GSM1112581_8cell_8-8	0.125
GSM1112579_8cell_8-6	GSM1112581_8cell_8-8	0.0526315789473684
GSM1112560_8cell_1-8	GSM1112503_16cell_1-9	0.125
GSM1112529_16cell_6-10	GSM1112560_8cell_1-8	0.125
GSM1112746_midblast_2-8	GSM1112529_16cell_6-10	0.0625
GSM1112723_midblast_1-4	GSM1112746_midblast_2-8	0.08115667239693941
GSM1112754_midblast_3-15	GSM1112746_midblast_2-8	0.0689655172413793
GSM1112746_midblast_2-8	GSM1112539_16cell_6-9	0.0606060606060606
GSM1112746_midblast_2-8	GSM1112506_16cell_4-11	0.0645161290322581
GSM1112715_midblast_1-18	GSM1112746_midblast_2-8	0.1
GSM1112715_midblast_1-18	GSM1112723_midblast_1-4	0.0022093039758868047
GSM1112758_midblast_3-23	GSM1112723_midblast_1-4	0.0789473684210526
GSM1112715_midblast_1-18	GSM1112754_midblast_3-15	0.0689655172413793
GSM1112495_16cell_1-15	GSM1112574_8cell_5-8	0.0606060606060606
GSM1112506_16cell_4-11	GSM1112574_8cell_5-8	0.0645161290322581
GSM1112539_16cell_6-9	GSM1112495_16cell_1-15	0.0606060606060606
GSM1112577_8cell_8-3	GSM1112575_8cell_8-1	0.0666666666666667
GSM1112624_earlyblast_2-7	GSM1112577_8cell_8-3	0.0909090909090909
GSM1112577_8cell_8-3	GSM1112578_8cell_8-4	0.0666666666666667
GSM1112626_earlyblast_3-1	GSM1112577_8cell_8-3	0.0950558213716109
GSM1112577_8cell_8-3	GSM1112579_8cell_8-6	0.0526315789473684
GSM1112618_earlyblast_2-2	GSM1112624_earlyblast_2-7	0.0909090909090909
GSM1112711_midblast_1-14	GSM1112618_earlyblast_2-2	0.18596491228070178
GSM1112618_earlyblast_2-2	GSM1112626_earlyblast_3-1	0.0950558213716109
GSM1112569_8cell_5-2	GSM1112573_8cell_5-7	0.26681497960697065
GSM1112505_16cell_4-10	GSM1112569_8cell_5-2	0.09892473118279568
GSM1112535_16cell_6-5	GSM1112569_8cell_5-2	0.16789024842417496
GSM1112687_lateblast_2-17	GSM1112505_16cell_4-10	0.032258064516129
GSM1112687_lateblast_2-17	GSM1112522_16cell_5-4	0.032258064516129
GSM1112708_midblast_1-11	GSM1112745_midblast_2-7	0.125
GSM1112522_16cell_5-4	GSM1112535_16cell_6-5	0.09892473118279568
