
from	to	edge_flow
GSM1112636_earlyblast_3-4	t	7.266853256547101
GSM1112623_earlyblast_2-6	GSM1112636_earlyblast_3-4	0.333333333333333
GSM1112639_earlyblast_3-8	GSM1112636_earlyblast_3-4	0.142857142857143
GSM1112635_earlyblast_3-3	GSM1112636_earlyblast_3-4	0.43702809160126155
GSM1112640_earlyblast_3-9	GSM1112636_earlyblast_3-4	0.23259623259623308
GSM1112627_earlyblast_3-10	GSM1112636_earlyblast_3-4	0.133333333333333
GSM1112619_earlyblast_2-22	GSM1112636_earlyblast_3-4	0.33928571428571397
GSM1112634_earlyblast_3-2	GSM1112636_earlyblast_3-4	0.36394223223491495
GSM1112617_earlyblast_2-19	GSM1112636_earlyblast_3-4	0.0909090909090909
GSM1112632_earlyblast_3-16	GSM1112636_earlyblast_3-4	0.555922418918667
GSM1112652_earlyblast_4-8	GSM1112636_earlyblast_3-4	0.25
GSM1112626_earlyblast_3-1	GSM1112636_earlyblast_3-4	0.371428571428571
GSM1112615_earlyblast_2-16	GSM1112636_earlyblast_3-4	0.448275862068966
GSM1112644_earlyblast_4-14	GSM1112636_earlyblast_3-4	0.14187013584955738
GSM1112616_earlyblast_2-17	GSM1112636_earlyblast_3-4	0.21875
GSM1112631_earlyblast_3-15	GSM1112636_earlyblast_3-4	0.3902621662782835
GSM1112646_earlyblast_4-17	GSM1112636_earlyblast_3-4	0.25
GSM1112613_earlyblast_2-12	GSM1112623_earlyblast_2-6	0.0303030303030303
GSM1112629_earlyblast_3-13	GSM1112623_earlyblast_2-6	0.384615384615385
GSM1112618_earlyblast_2-2	GSM1112623_earlyblast_2-6	0.05662630052873868
GSM1112611_earlyblast_2-1	GSM1112623_earlyblast_2-6	0.195121951219512
GSM1112623_earlyblast_2-6	GSM1112631_earlyblast_3-15	0.148148148148148
GSM1112647_earlyblast_4-18	GSM1112623_earlyblast_2-6	0.148148148148148
GSM1112672_lateblast_1-21	GSM1112613_earlyblast_2-12	0.0303030303030303
GSM1112692_lateblast_2-8	GSM1112672_lateblast_1-21	0.37037037037037
GSM1112672_lateblast_1-21	GSM1112731_midblast_2-12	0.0857142857142857
GSM1112672_lateblast_1-21	GSM1112763_midblast_3-7	0.193548387096774
GSM1112672_lateblast_1-21	GSM1112764_midblast_3-8	0.15625
GSM1112682_lateblast_1-9	GSM1112672_lateblast_1-21	0.09544533274372002
s	GSM1112692_lateblast_2-8	7.266853256547101
GSM1112692_lateblast_2-8	GSM1112684_lateblast_2-12	0.280769230769231
GSM1112692_lateblast_2-8	GSM1112682_lateblast_1-9	0.009750017522541676
GSM1112692_lateblast_2-8	GSM1112680_lateblast_1-7	0.29711764988566547
GSM1112692_lateblast_2-8	GSM1112686_lateblast_2-16	0.392857142857143
GSM1112692_lateblast_2-8	GSM1112689_lateblast_2-3	0.0606060606060606
GSM1112692_lateblast_2-8	GSM1112691_lateblast_2-7	0.0666666666666667
GSM1112692_lateblast_2-8	GSM1112666_lateblast_1-13	0.179316888045541
GSM1112692_lateblast_2-8	GSM1112677_lateblast_1-4	0.18661257606490828
GSM1112692_lateblast_2-8	GSM1112685_lateblast_2-14	0.222222222222222
GSM1112692_lateblast_2-8	GSM1112690_lateblast_2-5	0.379310344827586
GSM1112692_lateblast_2-8	GSM1112688_lateblast_2-2	0.24201129424253148
GSM1112692_lateblast_2-8	GSM1112670_lateblast_1-2	0.428571428571429
GSM1112692_lateblast_2-8	GSM1112669_lateblast_1-19	0.06066066066066007
GSM1112692_lateblast_2-8	GSM1112693_lateblast_2-9	0.6620233534026629
GSM1112692_lateblast_2-8	GSM1112673_lateblast_1-23	0.0882352941176471
GSM1112692_lateblast_2-8	GSM1112681_lateblast_1-8	0.68419650015868
GSM1112678_lateblast_1-5	GSM1112639_earlyblast_3-8	0.142857142857143
GSM1112684_lateblast_2-12	GSM1112678_lateblast_1-5	0.230769230769231
GSM1112678_lateblast_1-5	GSM1112640_earlyblast_3-9	0.151515151515152
GSM1112680_lateblast_1-7	GSM1112678_lateblast_1-5	0.206896551724138
GSM1112678_lateblast_1-5	GSM1112627_earlyblast_3-10	0.133333333333333
GSM1112686_lateblast_2-16	GSM1112678_lateblast_1-5	0.269230769230769
GSM1112678_lateblast_1-5	GSM1112619_earlyblast_2-22	0.214285714285714
GSM1112678_lateblast_1-5	GSM1112648_earlyblast_4-2	0.0294117647058824
GSM1112688_lateblast_2-2	GSM1112678_lateblast_1-5	0.17534462757586478
GSM1112685_lateblast_2-14	GSM1112678_lateblast_1-5	0.222222222222222
GSM1112678_lateblast_1-5	GSM1112752_midblast_3-13	0.0227272727272727
GSM1112678_lateblast_1-5	GSM1112632_earlyblast_3-16	0.176470588235294
GSM1112678_lateblast_1-5	GSM1112687_lateblast_2-17	0.148148148148148
GSM1112678_lateblast_1-5	GSM1112615_earlyblast_2-16	0.0857142857142857
GSM1112684_lateblast_2-12	GSM1112622_earlyblast_2-5	0.05
GSM1112616_earlyblast_2-17	GSM1112635_earlyblast_3-3	0.2672830218561927
GSM1112747_midblast_2-9	GSM1112635_earlyblast_3-3	0.166666666666667
GSM1112674_lateblast_1-24	GSM1112635_earlyblast_3-3	0.171428571428571
GSM1112665_lateblast_1-11	GSM1112635_earlyblast_3-3	0.212121212121212
GSM1112676_lateblast_1-27	GSM1112635_earlyblast_3-3	0.212121212121212
GSM1112728_midblast_2-1	GSM1112616_earlyblast_2-17	0.03125
GSM1112752_midblast_3-13	GSM1112616_earlyblast_2-17	0.1690687361419067
GSM1112665_lateblast_1-11	GSM1112616_earlyblast_2-17	0.285714285714286
GSM1112664_lateblast_1-10	GSM1112728_midblast_2-1	0.03125
GSM1112682_lateblast_1-9	GSM1112664_lateblast_1-10	0.06506226053639799
GSM1112664_lateblast_1-10	GSM1112752_midblast_3-13	0.125
GSM1112664_lateblast_1-10	GSM1112676_lateblast_1-27	0.137931034482759
GSM1112681_lateblast_1-8	GSM1112664_lateblast_1-10	0.3
GSM1112664_lateblast_1-10	GSM1112674_lateblast_1-24	0.133333333333333
GSM1112664_lateblast_1-10	GSM1112665_lateblast_1-11	0.222222222222222
GSM1112693_lateblast_2-9	GSM1112664_lateblast_1-10	0.344827586206897
GSM1112682_lateblast_1-9	GSM1112763_midblast_3-7	0.125
GSM1112682_lateblast_1-9	GSM1112670_lateblast_1-2	0.2242424242424237
GSM1112683_lateblast_2-1	GSM1112640_earlyblast_3-9	0.0810810810810811
GSM1112680_lateblast_1-7	GSM1112622_earlyblast_2-5	0.0465116279069767
GSM1112680_lateblast_1-7	GSM1112683_lateblast_2-1	0.04370947025455074
GSM1112686_lateblast_2-16	GSM1112683_lateblast_2-1	0.346153846153846
GSM1112693_lateblast_2-9	GSM1112686_lateblast_2-16	0.481481481481481
GSM1112681_lateblast_1-8	GSM1112686_lateblast_2-16	0.3841965001586801
GSM1112686_lateblast_2-16	GSM1112687_lateblast_2-17	0.103448275862069
GSM1112686_lateblast_2-16	GSM1112665_lateblast_1-11	0.0967741935483871
GSM1112719_midblast_1-22	GSM1112629_earlyblast_3-13	0.19393939393939397
GSM1112629_earlyblast_3-13	GSM1112652_earlyblast_4-8	0.23469604317704343
GSM1112653_earlyblast_4-9	GSM1112629_earlyblast_3-13	0.4253616058955331
GSM1112650_earlyblast_4-5	GSM1112629_earlyblast_3-13	1.0427957501335516E-5
GSM1112689_lateblast_2-3	GSM1112719_midblast_1-22	0.0606060606060606
GSM1112691_lateblast_2-7	GSM1112719_midblast_1-22	0.0666666666666667
GSM1112688_lateblast_2-2	GSM1112719_midblast_1-22	0.0666666666666667
GSM1112683_lateblast_2-1	GSM1112747_midblast_2-9	0.108695652173913
GSM1112685_lateblast_2-14	GSM1112683_lateblast_2-1	0.25
GSM1112683_lateblast_2-1	GSM1112665_lateblast_1-11	0.296296296296296
GSM1112690_lateblast_2-5	GSM1112683_lateblast_2-1	0.333333333333333
GSM1112683_lateblast_2-1	GSM1112619_earlyblast_2-22	0.125
GSM1112683_lateblast_2-1	GSM1112615_earlyblast_2-16	0.212121212121212
GSM1112683_lateblast_2-1	GSM1112632_earlyblast_3-16	0.105263157894737
GSM1112683_lateblast_2-1	GSM1112752_midblast_3-13	0.146341463414634
GSM1112683_lateblast_2-1	GSM1112674_lateblast_1-24	0.2
GSM1112693_lateblast_2-9	GSM1112683_lateblast_2-1	0.171428571428571
GSM1112683_lateblast_2-1	GSM1112687_lateblast_2-17	0.1
GSM1112683_lateblast_2-1	GSM1112676_lateblast_1-27	0.206896551724138
GSM1112622_earlyblast_2-5	GSM1112634_earlyblast_3-2	0.282051282051282
GSM1112665_lateblast_1-11	GSM1112634_earlyblast_3-2	0.108108108108108
GSM1112626_earlyblast_3-1	GSM1112634_earlyblast_3-2	0.545211413504096
GSM1112650_earlyblast_4-5	GSM1112622_earlyblast_2-5	0.13792060652525767
GSM1112690_lateblast_2-5	GSM1112622_earlyblast_2-5	0.0476190476190476
GSM1112687_lateblast_2-17	GSM1112650_earlyblast_4-5	0.137931034482759
GSM1112666_lateblast_1-13	GSM1112687_lateblast_2-17	0.032258064516129
GSM1112677_lateblast_1-4	GSM1112687_lateblast_2-17	0.0689655172413793
GSM1112687_lateblast_2-17	GSM1112641_earlyblast_4-1	0.148148148148148
GSM1112687_lateblast_2-17	GSM1112722_midblast_1-3	0.06789024842417529
GSM1112687_lateblast_2-17	GSM1112625_earlyblast_2-8	0.103448275862069
GSM1112690_lateblast_2-5	GSM1112687_lateblast_2-17	0.137931034482759
GSM1112687_lateblast_2-17	GSM1112648_earlyblast_4-2	0.133333333333333
GSM1112666_lateblast_1-13	GSM1112763_midblast_3-7	0.147058823529412
GSM1112711_midblast_1-14	GSM1112618_earlyblast_2-2	0.214285714285714
GSM1112618_earlyblast_2-2	GSM1112626_earlyblast_3-1	0.292682926829268
GSM1112731_midblast_2-12	GSM1112618_earlyblast_2-2	0.263157894736842
GSM1112708_midblast_1-11	GSM1112618_earlyblast_2-2	0.238095238095238
GSM1112618_earlyblast_2-2	GSM1112620_earlyblast_2-3	0.07924486806301825
GSM1112611_earlyblast_2-1	GSM1112618_earlyblast_2-2	0.004413472706155996
GSM1112763_midblast_3-7	GSM1112711_midblast_1-14	0.21557041671205693
GSM1112763_midblast_3-7	GSM1112731_midblast_2-12	0.014562979802543008
GSM1112677_lateblast_1-4	GSM1112763_midblast_3-7	0.117647058823529
GSM1112763_midblast_3-7	GSM1112611_earlyblast_2-1	0.131578947368421
GSM1112670_lateblast_1-2	GSM1112763_midblast_3-7	0.212121212121212
GSM1112763_midblast_3-7	GSM1112736_midblast_2-17	0.19067599067599103
GSM1112763_midblast_3-7	GSM1112708_midblast_1-11	0.4
GSM1112669_lateblast_1-19	GSM1112763_midblast_3-7	0.2
GSM1112747_midblast_2-9	GSM1112615_earlyblast_2-16	0.06702898550724601
GSM1112752_midblast_3-13	GSM1112747_midblast_2-9	0.125
GSM1112665_lateblast_1-11	GSM1112617_earlyblast_2-19	0.0909090909090909
GSM1112665_lateblast_1-11	GSM1112676_lateblast_1-27	0.00456606061444631
GSM1112690_lateblast_2-5	GSM1112665_lateblast_1-11	0.09375
GSM1112665_lateblast_1-11	GSM1112615_earlyblast_2-16	0.3
GSM1112693_lateblast_2-9	GSM1112690_lateblast_2-5	0.464285714285714
GSM1112612_earlyblast_2-10	GSM1112632_earlyblast_3-16	0.04397115167906242
GSM1112615_earlyblast_2-16	GSM1112632_earlyblast_3-16	0.2302175211095736
GSM1112648_earlyblast_4-2	GSM1112612_earlyblast_2-10	0.16274509803921539
GSM1112612_earlyblast_2-10	GSM1112631_earlyblast_3-15	0.222222222222222
GSM1112625_earlyblast_2-8	GSM1112612_earlyblast_2-10	0.103448275862069
GSM1112624_earlyblast_2-7	GSM1112652_earlyblast_4-8	0.2851957527308701
GSM1112652_earlyblast_4-8	GSM1112631_earlyblast_3-15	0.019891795907913512
GSM1112611_earlyblast_2-1	GSM1112624_earlyblast_2-7	0.2851957527308701
GSM1112731_midblast_2-12	GSM1112611_earlyblast_2-1	0.07978721412035583
GSM1112611_earlyblast_2-1	GSM1112620_earlyblast_2-3	0.23321393220065972
