
from	to	edge_flow
GSM1278025_8cell_14-4_smartseq2	t	4.361772610048468
GSM1278012_16cell_2pooled_split8b	GSM1278025_8cell_14-4_smartseq2	0.4
GSM1278020_8cell_12-4_smartseq2	GSM1278025_8cell_14-4_smartseq2	0.24515599343185548
GSM1278018_8cell_12-2_smartseq2	GSM1278025_8cell_14-4_smartseq2	0.20575110845731498
GSM1278027_8cell_2pooled_split5b	GSM1278025_8cell_14-4_smartseq2	0.1953767686825568
GSM1278031_8cell_2pooled_split9b	GSM1278025_8cell_14-4_smartseq2	0.285714285714286
GSM1278019_8cell_12-3_smartseq2	GSM1278025_8cell_14-4_smartseq2	0.7193732193732192
GSM1278026_8cell_2pooled_split5a	GSM1278025_8cell_14-4_smartseq2	0.06159420289854994
GSM1278030_8cell_2pooled_split9a	GSM1278025_8cell_14-4_smartseq2	0.75
GSM1278035_8cell_split4b	GSM1278025_8cell_14-4_smartseq2	0.285714285714286
GSM1278017_8cell_12-1_smartseq2	GSM1278025_8cell_14-4_smartseq2	0.001498542877852449
GSM1278015_16cell_split2a	GSM1278025_8cell_14-4_smartseq2	0.4
GSM1278009_16cell_2pooled_split6a	GSM1278012_16cell_2pooled_split8b	0.185185185185185
GSM1278014_16cell_split1b	GSM1278012_16cell_2pooled_split8b	0.185185185185185
GSM1278010_16cell_2pooled_split6b	GSM1278012_16cell_2pooled_split8b	0.185185185185185
GSM1278012_16cell_2pooled_split8b	GSM1278026_8cell_2pooled_split5a	0.478260869565217
GSM1278013_16cell_split1a	GSM1278012_16cell_2pooled_split8b	0.185185185185185
GSM1278012_16cell_2pooled_split8b	GSM1278015_16cell_split2a	0.4
GSM1278016_16cell_split2b	GSM1278012_16cell_2pooled_split8b	0.185185185185185
GSM1278012_16cell_2pooled_split8b	GSM1278030_8cell_2pooled_split9a	0.478260869565217
GSM1278011_16cell_2pooled_split8a	GSM1278012_16cell_2pooled_split8b	0.684210526315789
GSM1278012_16cell_2pooled_split8b	GSM1278019_8cell_12-3_smartseq2	0.423076923076923
GSM1112530_16cell_6-11	GSM1278009_16cell_2pooled_split6a	0.2450347640963633
GSM1278009_16cell_2pooled_split6a	GSM1278011_16cell_2pooled_split8a	0.25
GSM1112531_16cell_6-12	GSM1278009_16cell_2pooled_split6a	0.1597335669877576
GSM1112536_16cell_6-6	GSM1278009_16cell_2pooled_split6a	0.06560203928624908
GSM1112534_16cell_6-4	GSM1278009_16cell_2pooled_split6a	0.4
GSM1112522_16cell_5-4	GSM1112530_16cell_6-11	0.0666666666666667
GSM1112530_16cell_6-11	GSM1278014_16cell_split1b	0.02744504940512199
GSM1112535_16cell_6-5	GSM1112530_16cell_6-11	0.2634099616858233
GSM1112530_16cell_6-11	GSM1278010_16cell_2pooled_split6b	0.34613969908087505
GSM1112505_16cell_4-10	GSM1112530_16cell_6-11	0.02383700187692931
GSM1112510_16cell_4-5	GSM1112530_16cell_6-11	0.264705882352941
GSM1112507_16cell_4-2	GSM1112522_16cell_5-4	0.0666666666666667
GSM1112606_early2cell_1-2	GSM1112507_16cell_4-2	0.0555555555555556
GSM1112507_16cell_4-2	GSM1112535_16cell_6-5	0.0689655172413793
GSM1112603_early2cell_0r-1	GSM1112507_16cell_4-2	0.0512820512820513
GSM1112507_16cell_4-2	GSM1112505_16cell_4-10	0.02383700187692931
GSM1112604_early2cell_0r-2	GSM1112507_16cell_4-2	0.0526315789473684
GSM1112767_zy2	GSM1112606_early2cell_1-2	0.1924251249115149
GSM1112606_early2cell_1-2	GSM1112702_mid2cell_6-1	0.1368695693559593
s	GSM1112767_zy2	4.361772610048468
GSM1112767_zy2	GSM1112603_early2cell_0r-1	0.740740740740741
GSM1112767_zy2	GSM1112604_early2cell_0r-2	0.769230769230769
GSM1112767_zy2	GSM1112702_mid2cell_6-1	0.324324324324324
GSM1112767_zy2	GSM1112704_mid2cell_7-1	0.297297297297297
GSM1112767_zy2	GSM1112768_zy3	0.621621621621621
GSM1112767_zy2	GSM1112769_zy4	0.621621621621621
GSM1112767_zy2	GSM1112605_early2cell_1-1	0.621621621621621
GSM1278014_16cell_split1b	GSM1278011_16cell_2pooled_split8a	0.25
GSM1112538_16cell_6-8	GSM1278014_16cell_split1b	0.22916870720863397
GSM1112531_16cell_6-12	GSM1278014_16cell_split1b	0.428571428571429
GSM1112569_8cell_5-2	GSM1112535_16cell_6-5	0.194444444444444
GSM1112603_early2cell_0r-1	GSM1112704_mid2cell_7-1	0.394736842105263
GSM1112603_early2cell_0r-1	GSM1112702_mid2cell_6-1	0.421052631578947
GSM1278010_16cell_2pooled_split6b	GSM1278011_16cell_2pooled_split8a	0.25
GSM1112531_16cell_6-12	GSM1278010_16cell_2pooled_split6b	0.428571428571429
GSM1112538_16cell_6-8	GSM1278010_16cell_2pooled_split6b	0.095659242718066
GSM1112604_early2cell_0r-2	GSM1112704_mid2cell_7-1	0.368421052631579
GSM1112604_early2cell_0r-2	GSM1112702_mid2cell_6-1	0.394736842105263
GSM1278032_8cell_split3a	GSM1278020_8cell_12-4_smartseq2	0.1761904761904761
GSM1278033_8cell_split3b	GSM1278020_8cell_12-4_smartseq2	0.0689655172413794
GSM1112506_16cell_4-11	GSM1278032_8cell_split3a	0.0714285714285714
GSM1112529_16cell_6-10	GSM1278032_8cell_split3a	0.0333333333333333
GSM1112574_8cell_5-8	GSM1112506_16cell_4-11	0.0909090909090909
GSM1112506_16cell_4-11	GSM1278033_8cell_split3b	0.0344827586206897
GSM1112495_16cell_1-15	GSM1112506_16cell_4-11	0.1209135691894313
GSM1112562_8cell_2-2	GSM1112574_8cell_5-8	0.333333333333333
GSM1112574_8cell_5-8	GSM1112495_16cell_1-15	0.272727272727273
GSM1112574_8cell_5-8	GSM1112492_16cell_1-12	0.1456486042692935
GSM1112552_4cell_4-3	GSM1112562_8cell_2-2	0.323529411764706
GSM1112551_4cell_4-2	GSM1112562_8cell_2-2	0.323529411764706
GSM1112549_4cell_3-4	GSM1112562_8cell_2-2	0.4
GSM1112562_8cell_2-2	GSM1112567_8cell_2-8	0.14586032577285213
GSM1112540_4cell_1-1	GSM1112562_8cell_2-2	0.19689447165671536
GSM1112562_8cell_2-2	GSM1112493_16cell_1-13	0.325
GSM1112544_4cell_2-2	GSM1112562_8cell_2-2	0.299649420896885
GSM1112543_4cell_2-1	GSM1112562_8cell_2-2	0.4
GSM1112562_8cell_2-2	GSM1112581_8cell_8-8	0.291666666666667
GSM1112546_4cell_2-4	GSM1112562_8cell_2-2	0.03163187950206292
GSM1112562_8cell_2-2	GSM1112570_8cell_5-3	0.10580333469355305
GSM1112548_4cell_3-3	GSM1112562_8cell_2-2	0.4
GSM1112562_8cell_2-2	GSM1112575_8cell_8-1	0.13919413919414
GSM1112562_8cell_2-2	GSM1112573_8cell_5-7	0.388888888888889
GSM1112541_4cell_1-2	GSM1112562_8cell_2-2	0.363636363636364
GSM1112545_4cell_2-3	GSM1112562_8cell_2-2	0.375
GSM1112542_4cell_1-4	GSM1112562_8cell_2-2	0.363636363636364
GSM1112562_8cell_2-2	GSM1112580_8cell_8-7	0.114754098360656
GSM1112662_late2cell_9-1	GSM1112552_4cell_4-3	0.310344827586207
GSM1112552_4cell_4-3	GSM1112546_4cell_2-4	0.05977396351828007
GSM1112655_late2cell_5-2	GSM1112552_4cell_4-3	0.14480689780145234
GSM1112552_4cell_4-3	GSM1112548_4cell_3-3	0.08503293428317227
GSM1112552_4cell_4-3	GSM1112544_4cell_2-2	0.297160243407708
GSM1112660_late2cell_8-1	GSM1112662_late2cell_9-1	0.428571428571429
GSM1112662_late2cell_9-1	GSM1112551_4cell_4-2	0.310344827586207
GSM1112662_late2cell_9-1	GSM1112553_4cell_4-4	0.321428571428571
GSM1112657_late2cell_6-2	GSM1112662_late2cell_9-1	0.444444444444444
GSM1112662_late2cell_9-1	GSM1112545_4cell_2-3	0.233333333333333
GSM1112658_late2cell_7-1	GSM1112662_late2cell_9-1	0.39842030856229615
GSM1112654_late2cell_5-1	GSM1112662_late2cell_9-1	0.331847890671421
GSM1112662_late2cell_9-1	GSM1112550_4cell_4-1	0.357142857142857
GSM1112662_late2cell_9-1	GSM1112541_4cell_1-2	0.266666666666667
GSM1112662_late2cell_9-1	GSM1112542_4cell_1-4	0.266666666666667
GSM1112702_mid2cell_6-1	GSM1112660_late2cell_8-1	0.411764705882353
GSM1112704_mid2cell_7-1	GSM1112660_late2cell_8-1	0.424242424242424
GSM1112660_late2cell_8-1	GSM1112655_late2cell_5-2	0.21255419707432008
GSM1112702_mid2cell_6-1	GSM1112661_late2cell_8-2	0.23658735638024445
GSM1112769_zy4	GSM1112702_mid2cell_6-1	0.324324324324324
GSM1112702_mid2cell_6-1	GSM1112654_late2cell_5-1	0.382352941176471
GSM1112768_zy3	GSM1112702_mid2cell_6-1	0.324324324324324
GSM1112605_early2cell_1-1	GSM1112702_mid2cell_6-1	0.324324324324324
GSM1112702_mid2cell_6-1	GSM1112658_late2cell_7-1	0.382352941176471
GSM1112702_mid2cell_6-1	GSM1112657_late2cell_6-2	0.382352941176471
GSM1278011_16cell_2pooled_split8a	GSM1278018_8cell_12-2_smartseq2	0.20575110845731498
GSM1278016_16cell_split2b	GSM1278011_16cell_2pooled_split8a	0.25
GSM1278011_16cell_2pooled_split8a	GSM1278027_8cell_2pooled_split5b	0.1953767686825568
GSM1278011_16cell_2pooled_split8a	GSM1278031_8cell_2pooled_split9b	0.285714285714286
GSM1278013_16cell_split1a	GSM1278011_16cell_2pooled_split8a	0.25
