
from	to	edge_flow
GSM1112603_early2cell_0r-1	t	21.166608099502835
GSM1112704_mid2cell_7-1	GSM1112603_early2cell_0r-1	0.394736842105263
GSM1112767_zy2	GSM1112603_early2cell_0r-1	0.740740740740741
GSM1112702_mid2cell_6-1	GSM1112603_early2cell_0r-1	0.421052631578947
GSM1112507_16cell_4-2	GSM1112603_early2cell_0r-1	0.0512820512820513
GSM1112608_early2cell_2-2	GSM1112603_early2cell_0r-1	0.518518518518518
GSM1112609_early2cell_3-1	GSM1112603_early2cell_0r-1	0.518518518518518
GSM1112610_early2cell_3-2	GSM1112603_early2cell_0r-1	0.518518518518518
GSM1112599_C57twocell_20-1	GSM1112603_early2cell_0r-1	0.518518518518518
GSM1112600_C57twocell_20-2	GSM1112603_early2cell_0r-1	0.518518518518518
GSM1112597_C57twocell_18-1	GSM1112603_early2cell_0r-1	0.518518518518518
GSM1112595_C57twocell_16-1	GSM1112603_early2cell_0r-1	0.518518518518518
GSM1112598_C57twocell_18-2	GSM1112603_early2cell_0r-1	0.518518518518518
GSM1112596_C57twocell_16-2	GSM1112603_early2cell_0r-1	0.518518518518518
GSM1112696_mid2cell_3-1	GSM1112603_early2cell_0r-1	0.171428571428571
GSM1112705_mid2cell_7-2	GSM1112603_early2cell_0r-1	0.125
GSM1112697_mid2cell_3-2	GSM1112603_early2cell_0r-1	0.242424242424242
GSM1112766_zy1	GSM1112603_early2cell_0r-1	0.592592592592593
GSM1112602_C57twocell_22-2	GSM1112603_early2cell_0r-1	0.666666666666667
GSM1112601_C57twocell_22-1	GSM1112603_early2cell_0r-1	0.666666666666667
GSM1112703_mid2cell_6-2	GSM1112603_early2cell_0r-1	0.205128205128205
GSM1112607_early2cell_2-1	GSM1112603_early2cell_0r-1	0.740740740740741
GSM1112606_early2cell_1-2	GSM1112603_early2cell_0r-1	0.814814814814815
GSM1112605_early2cell_1-1	GSM1112603_early2cell_0r-1	0.740740740740741
GSM1112769_zy4	GSM1112603_early2cell_0r-1	0.740740740740741
GSM1112768_zy3	GSM1112603_early2cell_0r-1	0.740740740740741
GSM1112604_early2cell_0r-2	GSM1112603_early2cell_0r-1	0.888888888888889
GSM1112767_zy2	GSM1112704_mid2cell_7-1	0.297297297297297
GSM1112768_zy3	GSM1112704_mid2cell_7-1	0.09743954480796602
s	GSM1112767_zy2	21.166608099502835
GSM1112767_zy2	GSM1112702_mid2cell_6-1	0.324324324324324
GSM1112767_zy2	GSM1112601_C57twocell_22-1	0.7179487179487183
GSM1112767_zy2	GSM1112608_early2cell_2-2	0.40067340067340007
GSM1112767_zy2	GSM1112609_early2cell_3-1	0.40067340067340007
GSM1112767_zy2	GSM1112610_early2cell_3-2	0.40067340067340007
GSM1112767_zy2	GSM1112599_C57twocell_20-1	0.518518518518518
GSM1112767_zy2	GSM1112600_C57twocell_20-2	0.518518518518518
GSM1112767_zy2	GSM1112597_C57twocell_18-1	0.518518518518518
GSM1112767_zy2	GSM1112595_C57twocell_16-1	0.518518518518518
GSM1112767_zy2	GSM1112598_C57twocell_18-2	0.518518518518518
GSM1112767_zy2	GSM1112596_C57twocell_16-2	0.518518518518518
GSM1112767_zy2	GSM1112607_early2cell_2-1	0.75
GSM1112767_zy2	GSM1112766_zy1	0.7163876692824104
GSM1112767_zy2	GSM1112605_early2cell_1-1	0.909090909090909
GSM1112767_zy2	GSM1112602_C57twocell_22-2	0.666666666666667
GSM1112767_zy2	GSM1112768_zy3	0.909090909090909
GSM1112767_zy2	GSM1112606_early2cell_1-2	0.76
GSM1112767_zy2	GSM1112769_zy4	0.909090909090909
GSM1112767_zy2	GSM1112604_early2cell_0r-2	0.769230769230769
GSM1112702_mid2cell_6-1	GSM1112696_mid2cell_3-1	0.171428571428571
GSM1112607_early2cell_2-1	GSM1112702_mid2cell_6-1	0.018518518518517935
GSM1112702_mid2cell_6-1	GSM1112705_mid2cell_7-2	0.125
GSM1112766_zy1	GSM1112702_mid2cell_6-1	0.25847521136995133
GSM1112702_mid2cell_6-1	GSM1112697_mid2cell_3-2	0.03030303030303
GSM1112605_early2cell_1-1	GSM1112702_mid2cell_6-1	0.1245791245791239
GSM1112702_mid2cell_6-1	GSM1112703_mid2cell_6-2	0.205128205128205
GSM1112768_zy3	GSM1112702_mid2cell_6-1	0.2270152596468359
GSM1112606_early2cell_1-2	GSM1112507_16cell_4-2	0.0512820512820513
GSM1112601_C57twocell_22-1	GSM1112606_early2cell_1-2	0.0512820512820513
GSM1112768_zy3	GSM1112606_early2cell_1-2	0.01224553224553393
GSM1112769_zy4	GSM1112606_early2cell_1-2	0.09738409738409604
GSM1112604_early2cell_0r-2	GSM1112697_mid2cell_3-2	0.212121212121212
GSM1112605_early2cell_1-1	GSM1112604_early2cell_0r-2	0.212121212121212
GSM1112769_zy4	GSM1112604_early2cell_0r-2	0.2393162393162398
