
from	to	edge_flow
GSM1112636_earlyblast_3-4	t	0.8623712673109666
GSM1112631_earlyblast_3-15	GSM1112636_earlyblast_3-4	0.133333333333333
GSM1112623_earlyblast_2-6	GSM1112636_earlyblast_3-4	0.228434703026355
GSM1112645_earlyblast_4-16	GSM1112636_earlyblast_3-4	0.0041467304625197945
GSM1112634_earlyblast_3-2	GSM1112636_earlyblast_3-4	0.181818181818182
GSM1112615_earlyblast_2-16	GSM1112636_earlyblast_3-4	0.08345552297165171
GSM1112632_earlyblast_3-16	GSM1112636_earlyblast_3-4	0.064516129032258
GSM1112635_earlyblast_3-3	GSM1112636_earlyblast_3-4	0.166666666666667
GSM1112612_earlyblast_2-10	GSM1112631_earlyblast_3-15	0.133333333333333
GSM1112648_earlyblast_4-2	GSM1112612_earlyblast_2-10	0.133333333333333
GSM1112507_16cell_4-2	GSM1112648_earlyblast_4-2	0.133333333333333
GSM1112604_early2cell_0r-2	GSM1112507_16cell_4-2	0.0526315789473684
GSM1112606_early2cell_1-2	GSM1112507_16cell_4-2	0.0555555555555556
GSM1112603_early2cell_0r-1	GSM1112507_16cell_4-2	0.0512820512820513
GSM1112507_16cell_4-2	GSM1112650_earlyblast_4-5	0.137931034482759
GSM1112507_16cell_4-2	GSM1112630_earlyblast_3-14	0.09050366854359598
GSM1112522_16cell_5-4	GSM1112507_16cell_4-2	0.0666666666666667
GSM1112505_16cell_4-10	GSM1112507_16cell_4-2	0.0666666666666667
GSM1112535_16cell_6-5	GSM1112507_16cell_4-2	0.0689655172413793
GSM1112767_zy2	GSM1112604_early2cell_0r-2	0.0526315789473684
s	GSM1112767_zy2	0.8623712673109666
GSM1112767_zy2	GSM1112606_early2cell_1-2	0.0555555555555556
GSM1112767_zy2	GSM1112603_early2cell_0r-1	0.13872243284008026
GSM1112767_zy2	GSM1112702_mid2cell_6-1	0.324324324324324
GSM1112767_zy2	GSM1112704_mid2cell_7-1	0.29113737564363823
GSM1112603_early2cell_0r-1	GSM1112702_mid2cell_6-1	0.08744038155802897
GSM1112629_earlyblast_3-13	GSM1112623_earlyblast_2-6	0.228434703026355
GSM1112650_earlyblast_4-5	GSM1112629_earlyblast_3-13	0.137931034482759
GSM1112630_earlyblast_3-14	GSM1112629_earlyblast_3-13	0.09050366854359598
GSM1112577_8cell_8-3	GSM1112645_earlyblast_4-16	0.0041467304625197945
GSM1112579_8cell_8-6	GSM1112577_8cell_8-3	0.0526315789473684
GSM1112577_8cell_8-3	GSM1112634_earlyblast_3-2	0.181818181818182
GSM1112578_8cell_8-4	GSM1112577_8cell_8-3	0.0666666666666667
GSM1112575_8cell_8-1	GSM1112577_8cell_8-3	0.0666666666666667
GSM1112581_8cell_8-8	GSM1112579_8cell_8-6	0.0526315789473684
GSM1112562_8cell_2-2	GSM1112581_8cell_8-8	0.1776315789473684
GSM1112581_8cell_8-8	GSM1112503_16cell_1-9	0.125
GSM1112552_4cell_4-3	GSM1112562_8cell_2-2	0.323529411764706
GSM1112562_8cell_2-2	GSM1112578_8cell_8-4	0.0666666666666667
GSM1112562_8cell_2-2	GSM1112575_8cell_8-1	0.0666666666666667
GSM1112551_4cell_4-2	GSM1112562_8cell_2-2	0.323529411764706
GSM1112562_8cell_2-2	GSM1112573_8cell_5-7	0.2668149796069707
GSM1112562_8cell_2-2	GSM1112574_8cell_5-8	0.1251221896383187
GSM1112541_4cell_1-2	GSM1112562_8cell_2-2	0.055843257996579174
GSM1112662_late2cell_9-1	GSM1112552_4cell_4-3	0.310344827586207
GSM1112660_late2cell_8-1	GSM1112662_late2cell_9-1	0.428571428571429
GSM1112662_late2cell_9-1	GSM1112551_4cell_4-2	0.310344827586207
GSM1112662_late2cell_9-1	GSM1112541_4cell_1-2	0.055843257996579174
GSM1112702_mid2cell_6-1	GSM1112660_late2cell_8-1	0.411764705882353
GSM1112704_mid2cell_7-1	GSM1112660_late2cell_8-1	0.29113737564363823
GSM1112747_midblast_2-9	GSM1112615_earlyblast_2-16	0.08345552297165171
GSM1112734_midblast_2-15	GSM1112747_midblast_2-9	0.0358364753526047
GSM1112747_midblast_2-9	GSM1112635_earlyblast_3-3	0.166666666666667
GSM1112746_midblast_2-8	GSM1112747_midblast_2-9	0.214285714285714
GSM1112746_midblast_2-8	GSM1112734_midblast_2-15	0.0358364753526047
GSM1112529_16cell_6-10	GSM1112746_midblast_2-8	0.0625
GSM1112539_16cell_6-9	GSM1112746_midblast_2-8	0.0606060606060606
GSM1112506_16cell_4-11	GSM1112746_midblast_2-8	0.0645161290322581
GSM1112560_8cell_1-8	GSM1112529_16cell_6-10	0.125
GSM1112503_16cell_1-9	GSM1112560_8cell_1-8	0.125
GSM1112678_lateblast_1-5	GSM1112632_earlyblast_3-16	0.064516129032258
GSM1112687_lateblast_2-17	GSM1112678_lateblast_1-5	0.064516129032258
GSM1112505_16cell_4-10	GSM1112687_lateblast_2-17	0.032258064516129
GSM1112522_16cell_5-4	GSM1112687_lateblast_2-17	0.032258064516129
GSM1112569_8cell_5-2	GSM1112505_16cell_4-10	0.0989247311827957
GSM1112573_8cell_5-7	GSM1112569_8cell_5-2	0.2668149796069707
GSM1112569_8cell_5-2	GSM1112535_16cell_6-5	0.167890248424175
GSM1112495_16cell_1-15	GSM1112539_16cell_6-9	0.0606060606060606
GSM1112574_8cell_5-8	GSM1112495_16cell_1-15	0.0606060606060606
GSM1112574_8cell_5-8	GSM1112506_16cell_4-11	0.0645161290322581
GSM1112535_16cell_6-5	GSM1112522_16cell_5-4	0.09892473118279568
