
from	to	edge_flow
GSM1112695_mid2cell_0r-2	t	10.158786778120385
GSM1112696_mid2cell_3-1	GSM1112695_mid2cell_0r-2	0.009852067852915897
GSM1112704_mid2cell_7-1	GSM1112695_mid2cell_0r-2	0.535714285714286
GSM1112702_mid2cell_6-1	GSM1112695_mid2cell_0r-2	0.517241379310345
GSM1112697_mid2cell_3-2	GSM1112695_mid2cell_0r-2	0.476190476190476
GSM1112660_late2cell_8-1	GSM1112695_mid2cell_0r-2	0.1594691857849753
GSM1112700_mid2cell_5-1	GSM1112695_mid2cell_0r-2	0.013171572382098012
GSM1112698_mid2cell_4-1	GSM1112695_mid2cell_0r-2	0.789473684210526
GSM1112694_mid2cell_0r-1	GSM1112695_mid2cell_0r-2	0.7410820980137698
GSM1112703_mid2cell_6-2	GSM1112695_mid2cell_0r-2	0.681818181818182
GSM1112705_mid2cell_7-2	GSM1112695_mid2cell_0r-2	0.75
GSM1112697_mid2cell_3-2	GSM1112696_mid2cell_3-1	0.327145300935623
GSM1112604_early2cell_0r-2	GSM1112696_mid2cell_3-1	0.142857142857143
GSM1112603_early2cell_0r-1	GSM1112696_mid2cell_3-1	0.171428571428571
GSM1112607_early2cell_2-1	GSM1112697_mid2cell_3-2	0.161290322580645
GSM1112606_early2cell_1-2	GSM1112697_mid2cell_3-2	0.1875
GSM1112604_early2cell_0r-2	GSM1112697_mid2cell_3-2	0.212121212121212
GSM1112603_early2cell_0r-1	GSM1112697_mid2cell_3-2	0.242424242424242
GSM1112766_zy1	GSM1112607_early2cell_2-1	0.07420323549355798
GSM1112607_early2cell_2-1	GSM1112703_mid2cell_6-2	0.135135135135135
GSM1112607_early2cell_2-1	GSM1112702_mid2cell_6-1	0.361111111111111
s	GSM1112766_zy1	10.158786778120385
GSM1112766_zy1	GSM1112704_mid2cell_7-1	0.333333333333333
GSM1112766_zy1	GSM1112702_mid2cell_6-1	0.363636363636364
GSM1112766_zy1	GSM1112606_early2cell_1-2	0.5306800221273896
GSM1112766_zy1	GSM1112604_early2cell_0r-2	0.615384615384615
GSM1112766_zy1	GSM1112603_early2cell_0r-1	0.592592592592593
GSM1112766_zy1	GSM1112768_zy3	0.2283998191892899
GSM1112766_zy1	GSM1112769_zy4	0.727272727272727
GSM1112766_zy1	GSM1112608_early2cell_2-2	0.741935483870967
GSM1112766_zy1	GSM1112609_early2cell_3-1	0.741935483870967
GSM1112766_zy1	GSM1112610_early2cell_3-2	0.741935483870967
GSM1112766_zy1	GSM1112605_early2cell_1-1	0.727272727272727
GSM1112766_zy1	GSM1112767_zy2	0.621621621621621
GSM1112608_early2cell_2-2	GSM1112704_mid2cell_7-1	0.354838709677419
GSM1112609_early2cell_3-1	GSM1112704_mid2cell_7-1	0.354838709677419
GSM1112610_early2cell_3-2	GSM1112704_mid2cell_7-1	0.354838709677419
GSM1112704_mid2cell_7-1	GSM1112694_mid2cell_0r-1	0.33595649979351083
GSM1112606_early2cell_1-2	GSM1112704_mid2cell_7-1	0.351351351351351
GSM1112704_mid2cell_7-1	GSM1112703_mid2cell_6-2	0.3264208909370178
GSM1112704_mid2cell_7-1	GSM1112705_mid2cell_7-2	0.46774193548387005
GSM1112604_early2cell_0r-2	GSM1112704_mid2cell_7-1	0.368421052631579
GSM1112603_early2cell_0r-1	GSM1112704_mid2cell_7-1	0.394736842105263
GSM1112704_mid2cell_7-1	GSM1112698_mid2cell_4-1	0.5
GSM1112767_zy2	GSM1112704_mid2cell_7-1	0.297297297297297
GSM1112605_early2cell_1-1	GSM1112704_mid2cell_7-1	0.297297297297297
GSM1112768_zy3	GSM1112704_mid2cell_7-1	0.297297297297297
GSM1112769_zy4	GSM1112704_mid2cell_7-1	0.297297297297297
GSM1112608_early2cell_2-2	GSM1112702_mid2cell_6-1	0.387096774193548
GSM1112609_early2cell_3-1	GSM1112702_mid2cell_6-1	0.387096774193548
GSM1112702_mid2cell_6-1	GSM1112698_mid2cell_4-1	0.09507640067911705
GSM1112702_mid2cell_6-1	GSM1112694_mid2cell_0r-1	0.21072831468884995
GSM1112702_mid2cell_6-1	GSM1112703_mid2cell_6-2	0.4038821393660132
GSM1112604_early2cell_0r-2	GSM1112702_mid2cell_6-1	0.394736842105263
GSM1112603_early2cell_0r-1	GSM1112702_mid2cell_6-1	0.421052631578947
