
from	to	edge_flow
GSM1112656_late2cell_6-1	t	10.158786778120382
GSM1112663_late2cell_9-2	GSM1112656_late2cell_6-1	0.1594691857849753
GSM1112659_late2cell_7-2	GSM1112656_late2cell_6-1	0.4179134891921783
GSM1112660_late2cell_8-1	GSM1112656_late2cell_6-1	0.590909090909091
GSM1112655_late2cell_5-2	GSM1112656_late2cell_6-1	0.523809523809524
GSM1112662_late2cell_9-1	GSM1112656_late2cell_6-1	0.458333333333333
GSM1112699_mid2cell_4-2	GSM1112656_late2cell_6-1	0.478260869565217
GSM1112698_mid2cell_4-1	GSM1112656_late2cell_6-1	0.434782608695652
GSM1112705_mid2cell_7-2	GSM1112656_late2cell_6-1	0.416666666666667
GSM1112694_mid2cell_0r-1	GSM1112656_late2cell_6-1	0.434782608695652
GSM1112700_mid2cell_5-1	GSM1112656_late2cell_6-1	0.434782608695652
GSM1112657_late2cell_6-2	GSM1112656_late2cell_6-1	0.619047619047619
GSM1112658_late2cell_7-1	GSM1112656_late2cell_6-1	0.619047619047619
GSM1112654_late2cell_5-1	GSM1112656_late2cell_6-1	0.619047619047619
GSM1112661_late2cell_8-2	GSM1112656_late2cell_6-1	0.521739130434783
GSM1112551_4cell_4-2	GSM1112663_late2cell_9-2	0.0689655172413793
GSM1112552_4cell_4-3	GSM1112663_late2cell_9-2	0.09050366854359601
GSM1112562_8cell_2-2	GSM1112551_4cell_4-2	0.0689655172413793
GSM1112573_8cell_5-7	GSM1112562_8cell_2-2	0.1594691857849753
GSM1112562_8cell_2-2	GSM1112552_4cell_4-3	0.09050366854359601
GSM1112569_8cell_5-2	GSM1112573_8cell_5-7	0.1594691857849753
GSM1112535_16cell_6-5	GSM1112569_8cell_5-2	0.09280251911830861
GSM1112505_16cell_4-10	GSM1112569_8cell_5-2	0.0666666666666667
GSM1112507_16cell_4-2	GSM1112535_16cell_6-5	0.0689655172413793
GSM1112522_16cell_5-4	GSM1112535_16cell_6-5	0.02383700187692931
GSM1112606_early2cell_1-2	GSM1112507_16cell_4-2	0.0555555555555556
GSM1112604_early2cell_0r-2	GSM1112507_16cell_4-2	0.0526315789473684
GSM1112507_16cell_4-2	GSM1112505_16cell_4-10	0.0666666666666667
GSM1112603_early2cell_0r-1	GSM1112507_16cell_4-2	0.0512820512820513
GSM1112507_16cell_4-2	GSM1112522_16cell_5-4	0.02383700187692931
GSM1112767_zy2	GSM1112606_early2cell_1-2	0.3706800221273895
GSM1112606_early2cell_1-2	GSM1112697_mid2cell_3-2	0.1875
GSM1112606_early2cell_1-2	GSM1112703_mid2cell_6-2	0.157894736842105
GSM1112606_early2cell_1-2	GSM1112702_mid2cell_6-1	0.378378378378378
GSM1112606_early2cell_1-2	GSM1112704_mid2cell_7-1	0.351351351351351
s	GSM1112767_zy2	10.158786778120382
GSM1112767_zy2	GSM1112704_mid2cell_7-1	0.297297297297297
GSM1112767_zy2	GSM1112702_mid2cell_6-1	0.324324324324324
GSM1112767_zy2	GSM1112608_early2cell_2-2	0.10557184750733095
GSM1112767_zy2	GSM1112610_early2cell_3-2	0.1055718475073309
GSM1112767_zy2	GSM1112603_early2cell_0r-1	0.740740740740741
GSM1112767_zy2	GSM1112607_early2cell_2-1	0.657536568826891
GSM1112767_zy2	GSM1112604_early2cell_0r-2	0.7105953013847727
GSM1112767_zy2	GSM1112609_early2cell_3-1	0.10557184750733095
GSM1112767_zy2	GSM1112769_zy4	0.6216216216216209
GSM1112767_zy2	GSM1112766_zy1	0.696969696969697
GSM1112767_zy2	GSM1112605_early2cell_1-1	0.621621621621621
GSM1112767_zy2	GSM1112768_zy3	0.621621621621621
