"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Positive","BP","GO:0006281","DNA repair","312/8863","481/23328",1.96012184480745e-33,1.23801295718039e-29,7.68780420395008e-30,"Bach1/Cdc5l/Vcp/Psmd14/Uhrf1/Parp1/Msh6/Mcm6/Pold2/Xrn2/Rnf111/Trp53/Mcm7/Dtl/Pold1/Helb/Xab2/Mcm5/Pttg1/Trim28/Trip13/Rad1/Rad21/Smg1/Poll/Lig1/Mcm3/Hmga2/Ascc2/Fgf10/Trrap/Ascc1/Brca1/Zswim7/Mcm4/Smarcad1/Spire1/Rad51c/Dna2/Fignl1/Recql5/Cdca5/Pnkp/Nsmce4a/Timeless/Cul4b/Smc3/Actr8/Rtel1/Ino80c/Trp53bp1/Dmc1/Fam168a/Morf4l2/Usp7/Rec8/Actl6a/Wrap53/Zmpste24/Sycp3/Ruvbl1/Rfc3/Pole/Rad51ap1/Trex1/Rad54l/Ints3/Mms19/Palb2/Kdm1a/Rad9b/Ube2w/Cdc45/Pola1/Chek2/Prmt6/Pms1/Npm1/Helq/Fen1/Dmap1/Ubqln4/Wdr48/Usp10/Adprhl2/Apex1/Rnf138/Lig3/Nucks1/Atrip/Sirt6/Mgmt/Pold3/Xrcc1/Pml/Dclre1a/Rfwd3/Rif1/Nthl1/Trpc2/Spata22/Polk/Bard1/Eme2/Pcna/Kif22/Gtf2h3/Prkdc/Nhej1/Chek1/Abl1/Gtf2h4/Usp28/Parp2/Rrm2b/Rnaseh2a/Bod1l/Tdp2/Kin/Suv39h1/Nfrkb/Xpc/Smc5/Sirt7/Mnat1/Xrcc3/Rpa1/Fancf/Mbd4/Paxip1/Wrnip1/Cdk9/Fanca/Gins2/Neil1/Rpa2/Rad52/Hmgb1/Setd2/Rnf168/Usp1/Pnp/Axin2/Aptx/Esco2/Fancb/Gtf2h5/Chaf1b/Chchd4/Fancd2/Msh2/Topbp1/Cdc7/Morc2b/Smarcal1/Ercc2/Was/Rbbp8/Neil3/Poln/Brip1/Otub2/Nsmce2/Ercc3/Tfpt/Ung/Polm/Recql4/Mlh3/Ssrp1/Mcm2/Uimc1/Zranb3/Xrcc5/Smc6/Setx/Ppp4c/Apex2/Actr5/Rad18/Xrcc6/Asf1a/Pot1a/Mre11a/Atm/Hdac10/Kat5/Fign/Polg2/Nsmce1/Tdp1/Mad2l2/Rfc1/Alkbh3/Eid3/Ruvbl2/Ddx1/Cdk7/Clspn/Eya1/Twist1/Ddb1/Polq/Mutyh/Ogg1/Cdc14b/Nipbl/Chaf1a/Foxm1/Rad23b/Nono/Bccip/Rexo4/Fancm/Mms22l/Fancc/Park7/Slx1b/Rev3l/Otub1/Polr2i/Mus81/Trip12/Eya3/Alkbh2/Gm5136/Chrna4/Fancg/Brca2/Gen1/Yy1/Parp9/Dot1l/Ppp4r2/Mpg/Hus1/Ascc3/Ercc8/Eya4/Rps3/Pds5b/Pms2/Rad51/Dhx9/Ubr5/Pole2/Polh/Taok1/Nudt1/Hus1b/Hmga1/Xrcc2/Rfc4/Ino80/Fancl/Rnf169/Ddx11/Prrx1/Mc1r/Parg/Ggn/Fbxo6/Rad23a/Pif1/Rbm17/Fanci/Alkbh1/Dclre1b/Tmem161a/Wdhd1/Rev1/Usp45/Rad50/Spire2/Terf2ip/Shprh/Nudt16/Aplf/Mdc1/Gtf2h1/Smc1a/Poldip2/Kdm4d/Fto/Ercc4/Hsf1/Cetn2/Parp3/Mta1/Slx4/Ercc6/Prpf19/Ube2d3/Exo1/Ino80d/Zbtb1/Atrx/Dclre1c/Egfr/Msh3/Stub1/Psme4/Rfc2/Blm/Msh4/Atr/Mcm8/Mcrs1/Fignl2/Huwe1/4930447C04Rik/Lig4",312
"2","Positive","BP","GO:0034660","ncRNA metabolic process","292/8863","444/23328",6.07515294536739e-33,1.91853330014702e-29,1.19136946707573e-29,"Pes1/Ddx56/Riok2/Ncl/Wdr18/Tsr1/Helb/Ddx49/Wars2/Pop7/Elp3/Rrp1b/Farsb/Tsr2/Dkc1/Nol11/Shq1/Nat10/Exosc9/Mrto4/Srfbp1/Rrp36/Eprs/Rnf113a2/Elac2/Eif6/Tars/Dars/Tdrd12/Dus4l/Dis3/Mettl1/Mrpl44/Tarbp1/Farsa/Wdr74/Mettl4/Exosc10/Ints10/Ftsj3/Wdr43/Rbfa/Mettl5/Ddx27/Nop14/Exosc4/Ints3/Frg1/Wars/Dars2/Snd1/Dus1l/Rrp1/Tars2/Tsen2/Npm1/Helq/Pop4/Yars/Exosc7/Pnpt1/Kars/Ybey/Tbl3/Utp15/Utp23/Aarsd1/Rpl26/Nars2/Las1l/Clp1/Rpusd2/Srrt/Trmt6/Zcchc8/Nob1/Prkdc/Ddx52/Elp2/Pus1/Dhx37/Wdr36/Tarsl2/Trmt112/Esf1/Drosha/Wdr3/Riok3/Dalrd3/Suv39h1/Sirt7/Utp14a/Mettl16/Tarbp2/Ssb/Rpp25/Tprkb/Utp20/Gtpbp4/Vars/Nop2/Kri1/Znhit3/Larp7/Dtwd1/Mov10l1/Grsf1/Zbtb8os/Utp6/Rpp14/Gars/Wdr75/Iars2/Rsl1d1/Mphosph10/Pa2g4/Gtf2h5/Utp18/Znhit6/Sars2/Trub1/Hars/Ints1/Mir744/Utp3/Cars2/Ankrd16/Mocs3/Mettl6/Ercc2/Adat2/Ddx17/Bms1/Nol10/2210016F16Rik/Aars2/Lin28b/Wdr12/Nsa2/Rpp30/Thumpd3/Pusl1/Ddx10/Rars/Mphosph6/Gtpbp3/Lage3/Dus3l/Elp4/Nsun2/Cars/Trmt1/Ctu1/Alkbh8/Pars2/Thada/Mdn1/Osgepl1/Mak16/Thumpd1/Dtd1/Chd7/Rars2/Tdrd9/Fdxacb1/Rpl7l1/Mettl15/Ddx18/Ddx1/Ints9/Nsun3/Kti12/Mybl1/Aars/Ftsj1/Stat3/Hars2/Nfkb1/Gpat2/Hnrnpa2b1/Adat1/Mrps11/Trmt61a/Mtfmt/Rexo4/Trmu/Zcchc4/Trit1/Trmt12/Ebna1bp2/Mettl3/Rpp38/Tfb2m/Mettl2/Piwil4/Zc3h12a/Rnf113a1/Tut1/Exosc3/Rrp9/Rpusd4/Piwil2/Imp3/Fkbp6/Rrp12/Trdmt1/Trim71/Nars/Qars/Nol9/Bcdin3d/Emg1/Ngdn/Exd1/Exosc2/Ints5/Nsun4/Pelo/Cdk5rap1/Sepsecs/Eri1/Gatc/Nop10/Eri3/Rcl1/Pop1/Rpl7/Utp14b/Pus10/Rela/Dph3/Ddx4/Ddx54/Pwp2/Ints2/Asz1/Pih1d2/Mars2/Lyar/Tsen54/Pop5/Rpusd3/Mrm1/Wdr4/Wdr46/Sart1/Ints12/Rrp15/Ears2/Eri2/Dis3l2/Abt1/Rbm7/Ddx51/Alkbh1/Ints4/Rpusd1/Tyw3/Tfb1m/Thg1l/Naf1/Tyw1/Fbl/Dcaf13/Mael/Mto1/Lcmt2/Heatr1/Nudt16/Ddx47/Urb1/Bysl/Lars/Nol8/Ints6/Thumpd2/Bop1/Exosc1/Nvl/Rpp40/Trnt1/Ptcd1/Trmt11/Exosc6/Polr3k/Rnasel/Dimt1/Usp36/Imp4/Riok1/Qtrt1/Tdrd1",292
"3","Positive","BP","GO:0022613","ribonucleoprotein complex biogenesis","268/8863","409/23328",6.08637109885405e-30,1.28138399534541e-26,7.95712937344919e-27,"Pes1/Prmt5/Gemin5/Eif2s3x/Ddx56/Ddx3x/Riok2/Ncl/Wdr18/Rrn3/Tsr1/Helb/Xab2/Sdad1/Ddx49/Hsp90ab1/Nop58/Pop7/Prpf31/Rrp1b/Eif2s2/Tsr2/Dkc1/Nol11/Eif3a/Prmt7/Shq1/Nat10/Exosc9/Eif4b/Prpf6/Mrto4/Srfbp1/Rrp36/Nmd3/Eif2d/Slu7/Mrpl10/Ipo4/Eif6/Cul4b/Snrnp200/Pak1ip1/Gemin6/Puf60/Dis3/Lsg1/Brix1/Nle1/Wdr74/Ythdc1/Exosc10/Ruvbl1/Nop56/Gemin4/Ftsj3/Wdr43/Rbfa/Mettl5/Ddx27/Nop14/Gemin8/Exosc4/Smn1/Frg1/Heatr3/Mcts1/Rpl10l/Rrp1/Npm1/Helq/Nop16/Ddx39b/Pop4/Mybbp1a/Noc4l/Sf3a3/Exosc7/Zfp622/Prpf3/Ybey/Tbl3/Utp15/Utp23/Rpl26/Las1l/Clp1/Rpusd2/Eif3d/Nob1/Prkdc/Ddx52/Dhx37/Wdr36/Trmt112/Esf1/Srpk2/Eral1/Zrsr2/Drosha/Cpsf6/Wdr3/Rbmx/Riok3/Suv39h1/Surf6/Sirt7/Nol3/Utp14a/Mettl16/Tarbp2/Rpp25/Utp20/Gtpbp4/Nop2/Kri1/Crnkl1/Znhit3/Prpf18/Gnl2/Utp6/Snrpb/Wdr75/Rsl1d1/Mphosph10/Pa2g4/Gtf2h5/Utp18/Znhit6/Nudt21/Dhx30/Snrpc/Utp3/Snrpd3/Luc7l/Ercc2/Ddx17/Bms1/Mrps7/Isy1/Nol10/Xpo1/Wdr12/Nsa2/Rpp30/Sart3/Ptges3/Ddx10/Denr/Xrcc5/Rsl24d1/Setx/Mphosph6/Ppan/Hsp90aa1/Aatf/Snrpd1/Ipo9/Abce1/Atm/Mdn1/Pten/Srpk1/Mak16/Usp39/Chd7/Traf7/Fdxacb1/Rpl7l1/Mcts2/Mettl15/Ddx18/Ruvbl2/Fastkd2/Nsun3/Cebpz/Ddx31/Pwp1/Sf3a2/Mrps11/Ddx20/Rexo4/Zcchc4/Ebna1bp2/Gtpbp10/Rpp38/Tfb2m/Gnl3l/Exosc3/Rrp9/Rpusd4/Nip7/Cdc73/Imp3/Rrp12/Sf3a1/Psip1/Ran/Nol9/Prpf8/Emg1/Prpf39/Clns1a/Ngdn/Exosc2/Rps27/Nsun4/Dhx9/Mrpl11/Eri1/Nop10/Eri3/Rcl1/Rpl7/Utp14b/Celf6/Srsf10/Ddx54/Nom1/Pwp2/Pih1d2/C1qbp/Lyar/Tsc1/Pop5/Rpusd3/Mrm1/Wdr46/Sart1/Rrp15/Eri2/Abt1/Ddx51/Ncbp1/Rpusd1/Ddx28/Tfb1m/Naf1/Fbl/Dcaf13/Heatr1/Ddx47/Urb1/Bysl/Rpl13a/Nol8/Urb2/Cpsf7/Usp4/Bop1/Exosc1/Mrpl36/Nvl/Eif5/Mrpl22/1700009N14Rik/Rpp40/Prpf19/Exosc6/Rnasel/Dimt1/Usp36/Polr2d/Sf3b1/Atr/Imp4/Riok1/Mbnl1",268
"4","Positive","BP","GO:0034470","ncRNA processing","233/8863","355/23328",2.39033547680772e-26,3.77433971787939e-23,2.34378683857515e-23,"Pes1/Ddx56/Riok2/Ncl/Wdr18/Tsr1/Helb/Ddx49/Pop7/Elp3/Rrp1b/Tsr2/Dkc1/Nol11/Shq1/Nat10/Exosc9/Mrto4/Srfbp1/Rrp36/Rnf113a2/Elac2/Eif6/Dus4l/Dis3/Mettl1/Mrpl44/Tarbp1/Wdr74/Exosc10/Ints10/Ftsj3/Wdr43/Rbfa/Mettl5/Ddx27/Nop14/Exosc4/Ints3/Frg1/Dus1l/Rrp1/Tsen2/Npm1/Helq/Pop4/Exosc7/Ybey/Tbl3/Utp15/Utp23/Rpl26/Las1l/Clp1/Rpusd2/Srrt/Trmt6/Zcchc8/Nob1/Prkdc/Ddx52/Elp2/Pus1/Dhx37/Wdr36/Trmt112/Esf1/Drosha/Wdr3/Riok3/Suv39h1/Sirt7/Utp14a/Mettl16/Tarbp2/Ssb/Rpp25/Tprkb/Utp20/Gtpbp4/Nop2/Kri1/Znhit3/Larp7/Dtwd1/Grsf1/Zbtb8os/Utp6/Rpp14/Wdr75/Rsl1d1/Mphosph10/Pa2g4/Gtf2h5/Utp18/Znhit6/Trub1/Ints1/Utp3/Ankrd16/Mocs3/Mettl6/Ercc2/Adat2/Ddx17/Bms1/Nol10/2210016F16Rik/Aars2/Lin28b/Wdr12/Nsa2/Rpp30/Thumpd3/Pusl1/Ddx10/Mphosph6/Gtpbp3/Lage3/Dus3l/Elp4/Nsun2/Trmt1/Ctu1/Alkbh8/Thada/Mdn1/Osgepl1/Mak16/Thumpd1/Chd7/Fdxacb1/Rpl7l1/Mettl15/Ddx18/Ddx1/Ints9/Nsun3/Kti12/Aars/Ftsj1/Stat3/Hnrnpa2b1/Adat1/Mrps11/Trmt61a/Mtfmt/Rexo4/Trmu/Zcchc4/Trit1/Trmt12/Ebna1bp2/Mettl3/Rpp38/Tfb2m/Mettl2/Rnf113a1/Tut1/Exosc3/Rrp9/Rpusd4/Imp3/Rrp12/Trdmt1/Nol9/Bcdin3d/Emg1/Ngdn/Exosc2/Ints5/Nsun4/Cdk5rap1/Eri1/Nop10/Eri3/Rcl1/Pop1/Rpl7/Utp14b/Pus10/Dph3/Ddx54/Pwp2/Ints2/Pih1d2/Lyar/Tsen54/Pop5/Rpusd3/Mrm1/Wdr4/Wdr46/Sart1/Ints12/Rrp15/Eri2/Abt1/Ddx51/Alkbh1/Ints4/Rpusd1/Tyw3/Tfb1m/Thg1l/Naf1/Tyw1/Fbl/Dcaf13/Mto1/Lcmt2/Heatr1/Ddx47/Urb1/Bysl/Nol8/Ints6/Thumpd2/Bop1/Exosc1/Nvl/Rpp40/Trnt1/Ptcd1/Trmt11/Exosc6/Polr3k/Rnasel/Dimt1/Usp36/Imp4/Riok1/Qtrt1",233
"5","Positive","BP","GO:0042254","ribosome biogenesis","195/8863","296/23328",1.47159980694782e-22,1.85892487613649e-19,1.15435386961844e-19,"Pes1/Ddx56/Ddx3x/Riok2/Ncl/Wdr18/Rrn3/Tsr1/Helb/Sdad1/Ddx49/Nop58/Pop7/Rrp1b/Tsr2/Dkc1/Nol11/Shq1/Nat10/Exosc9/Mrto4/Srfbp1/Rrp36/Nmd3/Mrpl10/Ipo4/Eif6/Cul4b/Pak1ip1/Dis3/Lsg1/Brix1/Nle1/Wdr74/Exosc10/Nop56/Ftsj3/Wdr43/Rbfa/Mettl5/Ddx27/Nop14/Exosc4/Frg1/Heatr3/Rpl10l/Rrp1/Npm1/Helq/Nop16/Pop4/Mybbp1a/Noc4l/Exosc7/Zfp622/Ybey/Tbl3/Utp15/Utp23/Rpl26/Las1l/Rpusd2/Nob1/Prkdc/Ddx52/Dhx37/Wdr36/Trmt112/Esf1/Eral1/Drosha/Wdr3/Riok3/Suv39h1/Surf6/Sirt7/Utp14a/Mettl16/Rpp25/Utp20/Gtpbp4/Nop2/Kri1/Znhit3/Gnl2/Utp6/Wdr75/Rsl1d1/Mphosph10/Pa2g4/Gtf2h5/Utp18/Znhit6/Dhx30/Utp3/Ercc2/Ddx17/Bms1/Mrps7/Nol10/Xpo1/Wdr12/Nsa2/Rpp30/Ddx10/Xrcc5/Rsl24d1/Mphosph6/Ppan/Aatf/Ipo9/Abce1/Mdn1/Pten/Mak16/Chd7/Traf7/Fdxacb1/Rpl7l1/Mettl15/Ddx18/Fastkd2/Nsun3/Cebpz/Ddx31/Pwp1/Mrps11/Rexo4/Zcchc4/Ebna1bp2/Gtpbp10/Rpp38/Tfb2m/Gnl3l/Exosc3/Rrp9/Rpusd4/Nip7/Imp3/Rrp12/Ran/Nol9/Emg1/Ngdn/Exosc2/Rps27/Nsun4/Mrpl11/Eri1/Nop10/Eri3/Rcl1/Rpl7/Utp14b/Ddx54/Nom1/Pwp2/Pih1d2/C1qbp/Lyar/Tsc1/Pop5/Rpusd3/Mrm1/Wdr46/Sart1/Rrp15/Eri2/Abt1/Ddx51/Rpusd1/Ddx28/Tfb1m/Naf1/Fbl/Dcaf13/Heatr1/Ddx47/Urb1/Bysl/Nol8/Urb2/Bop1/Exosc1/Mrpl36/Nvl/Mrpl22/1700009N14Rik/Rpp40/Exosc6/Rnasel/Dimt1/Usp36/Imp4/Riok1",195
"6","Positive","BP","GO:0072594","establishment of protein localization to organelle","257/8863","426/23328",4.18321258346787e-21,4.40352844619718e-18,2.73450001508794e-18,"Pmm1/Ipo7/Cct3/Trp53/Nup133/Trim28/Cct6a/Cct5/Hsp90ab1/Cct7/Dkc1/Mtch2/Hnf4a/Kpna3/Rbm22/Srp9/Kpnb1/Ipo5/Hspd1/Brca1/Tcp1/Dnajc15/Hspa4/Tomm5/Pmpca/Ipo4/Ddx5/Cct8/Snupn/Scarb2/Timm23/Bid/Samm50/Hk1/Snx16/Pom121/Nedd4/Wrap53/Eps15/Cct2/Tardbp/Srebf1/Pex5/Ipo13/Nup62/Nup93/Heatr3/Srp72/Tnpo3/Pik3r4/Fam53b/Dmap1/Ei24/Cdk1/Nup188/Vps37d/Timm10/Cse1l/Srp54c/Tnfrsf1a/Mapk14/Pml/Lamp3/Hgs/Med1/Srp14/Folr2/Pex3/Oxa1l/Gcc2/Spcs2/Srp54a/Nup85/Six3/Srpr/Bag4/Cct4/Nol3/Pom121l2/Vps41/Nup155/Hacl1/Pex13/Cacng4/Nup107/Pex10/Nxt2/Agk/Pex14/Abra/Kpna1/Dusp21/Dnm1/Vps13d/Dnaja1/Ipo11/Cacng2/Mbtps1/Chchd4/Caly/Fis1/Nup98/Rab7/Cdkn1a/Lrsam1/Pex7/Lrwd1/Prkd1/Tspan17/Vti1a/Mapt/Nup62cl/Appl1/Pacsin1/Terf1/Pmaip1/Gsg1l/Timm17b/M6pr/Ap3d1/Moap1/Lamp2/Hsp90aa1/Sirt2/Ranbp2/Pick1/Ipo9/Pot1a/Prkcd/Lhcgr/Kpna7/Sec62/Ruvbl2/Grpel2/Stat3/Nipbl/Lrrk2/Nup35/Shh/Hap1/Mx2/Ap3b1/Tnpo1/Hdac3/Vps4a/Aip/Snap25/Bcs1l/Zc3h12a/Gnptab/Syne1/Srprb/Smo/Tgfb1/Bbc3/Ranbp6/Brca2/Pex19/Bnip3l/Arntl/Arxes1/Ran/Srp19/Grpel1/Rab3gap1/Vps13c/Pex1/Timm17a/Tsc2/Bmp4/Numb/Tspan10/Pik3r2/Ubr5/Acd/Sec63/Pttg1ip/Rab23/Aifm1/Nup214/Nup50/Ing1/Jak2/Apod/Tmco6/Macf1/Tram2/Sgta/Bax/Prkaa1/Nupl1/Hspa5/Phip/Srp68/Pmpcb/Zfyve16/Pex12/Mfn2/Zic1/Dusp18/Timm9/Mir208b/Hyal2/Snf8/Appl2/Stam/Rab8b/Cubn/Fam53c/Numa1/Ppp3ca/Mx1/Ncoa4/Rnf215/Mavs/Dnm2/Dnlz/Sorl1/Ift122/Ywhaz/Tomm34/Hsph1/Nutf2/Tomm40l/Cd36/Nup153/Ufm1/Ophn1/1700009N14Rik/Bag3/Vps13a/Fgf9/Mmp12/Sec61a1/Timm44/Vps28/Tspo/Ryr2/Pex26/Sec61a2/Dnm3/Ipo8/Sprn/Pola2/Immp2l/Tert/Fbxo7/Cd68/Txnip/Ptgs2/Kpna6/Pdcd5/Usp46/Nfkbia/Ptpn22/Gli3/Zfand2b",257
"7","Positive","BP","GO:0006364","rRNA processing","143/8863","206/23328",4.5088098003538e-20,4.06823467129065e-17,2.52628952122079e-17,"Pes1/Ddx56/Riok2/Ncl/Wdr18/Tsr1/Helb/Ddx49/Pop7/Rrp1b/Tsr2/Dkc1/Nol11/Shq1/Nat10/Exosc9/Mrto4/Srfbp1/Rrp36/Eif6/Dis3/Wdr74/Exosc10/Ftsj3/Wdr43/Rbfa/Mettl5/Ddx27/Nop14/Exosc4/Frg1/Rrp1/Npm1/Helq/Pop4/Exosc7/Ybey/Tbl3/Utp15/Utp23/Rpl26/Las1l/Rpusd2/Nob1/Prkdc/Ddx52/Dhx37/Wdr36/Trmt112/Esf1/Wdr3/Riok3/Suv39h1/Sirt7/Utp14a/Mettl16/Rpp25/Utp20/Gtpbp4/Nop2/Kri1/Znhit3/Utp6/Wdr75/Rsl1d1/Mphosph10/Pa2g4/Gtf2h5/Utp18/Znhit6/Utp3/Ercc2/Ddx17/Bms1/Nol10/Wdr12/Nsa2/Rpp30/Ddx10/Mphosph6/Mdn1/Mak16/Chd7/Fdxacb1/Rpl7l1/Mettl15/Ddx18/Nsun3/Mrps11/Rexo4/Zcchc4/Ebna1bp2/Rpp38/Tfb2m/Exosc3/Rrp9/Rpusd4/Imp3/Rrp12/Nol9/Emg1/Ngdn/Exosc2/Nsun4/Eri1/Nop10/Eri3/Rcl1/Rpl7/Utp14b/Ddx54/Pwp2/Pih1d2/Lyar/Pop5/Rpusd3/Mrm1/Wdr46/Sart1/Rrp15/Eri2/Abt1/Ddx51/Rpusd1/Tfb1m/Naf1/Fbl/Dcaf13/Heatr1/Ddx47/Urb1/Bysl/Nol8/Bop1/Exosc1/Nvl/Rpp40/Exosc6/Rnasel/Dimt1/Usp36/Imp4/Riok1",143
"8","Positive","BP","GO:0006397","mRNA processing","271/8863","462/23328",9.08165595164832e-20,7.16996737382634e-17,4.45240132576863e-17,"Cdc5l/Prmt5/Gemin5/Xrn2/Srsf5/Cpsf3/Zmat5/Ncl/Smu1/Xab2/Tbrg4/Prpf4/Prpf31/Rrp1b/Snw1/Snrpa1/Prmt7/Wdr83/Prdx6/Fxr1/Rbm22/Ecd/Prpf6/Hnrnpf/Srrm1/Slu7/Rnf113a2/Myod1/Thoc2/Snrnp200/Ddx5/Gemin6/Puf60/Cirbp/Rest/Eif4a3/Rbm26/Ctr9/Pqbp1/Cwc22/Rbm41/Hnrnpu/Ythdc1/Ddx46/Tardbp/Ppwd1/Gemin4/Zc3h13/Smndc1/Rbm25/Rbm6/Gemin8/Rbm42/Smn1/Frg1/Sugp1/Brdt/Srsf3/Tsen2/Ddx41/Npm1/Ppil1/Snrpa/Ddx39b/Malat1/Ppp1r8/Sf3a3/Cdk11b/Cwf19l2/Pnpt1/Hnrnpc/Cdc40/Apobec1/Prpf3/Lsm1/Clp1/Gpatch1/Srrt/Papolg/Thoc3/Zcchc8/Dhx38/Gpkow/Dhx15/Thoc5/Sf3b2/Srpk2/Zrsr2/Cpsf6/Zrsr1/Rbmx/Kin/Akap8l/Snrnp40/Son/Ddx23/Ppil3/Zc3h14/Nol3/Thoc7/Syf2/Ik/Cdk9/Crnkl1/Larp7/Prpf18/Snip1/Grsf1/Ptbp1/Plrg1/Snrpb/Hnrnpk/Thrap3/Tra2b/Ccnt1/Nudt21/Snrpc/Rbfox3/Nup98/Nova1/Raver1/Snrpd3/Luc7l/Ddx17/Rbm24/Pcbp1/Eftud2/Isy1/Pnn/Syncrip/Rnf20/Snrpb2/Rbbp6/Sart3/Setx/U2af1l4/Esrp2/Scnm1/Snrpd1/Sugp2/Rnf40/Bcas2/Srpk1/Cpsf4l/Cpsf1/Bud13/Rbm19/Pan2/Magoh/Usp39/Tfip11/Dbr1/Cstf2/Mfap1a/Dhx16/Ddx1/Cstf2t/Scaf4/Hnrnpa2b1/Txnl4b/Sf3a2/Nono/Ddx20/Hnrnph1/Mettl3/Zfp830/Ern1/Ppie/Tut1/Rbm27/Rbfox1/Cdk12/Dyrk1a/Dhx8/Srrm2/U2af2/Rbm20/Cdc73/Khdrbs1/Ppp4r2/Srek1/Cir1/Sf3a1/Rbmx2/Psip1/Prpf8/Rprd2/Srsf9/Adarb1/Csdc2/Txnl4a/Prpf38a/Paf1/Prpf39/Clns1a/Papola/Rnps1/Dhx9/Adam3/Thoc1/Zmat2/Snrnp70/Rbm28/Safb/Sf3b4/Celf6/Htatsf1/Srsf10/Ptcd2/Akr1c6/Phrf1/Mfap1b/C1qbp/Tsen54/Rpusd3/Zfp36l1/Srsf7/Sart1/Elavl4/BC005624/Rnmt/Rbm17/Prpf40b/Rbm7/Gm16381/Ncbp1/Leo1/Rngtt/Tra2a/Fastkd5/Cpsf4/Mtpap/Hnrnpm/Clasrp/Cstf1/Snrnp48/Safb2/Ttf2/Ddx47/A1cf/Pspc1/Cpsf2/Cpsf7/Cwc25/Hsf1/Rbm11/Usp4/Wbp4/Aff2/Hnrnpa3/Tcerg1/Aqr/Rbmxl2/Prkrip1/Prpf19/Fip1l1/Sf3b3/Rnasel/Sympk/Phf5a/4930595M18Rik/Casc3/Tdrd3/Pabpc2/Polr2d/Sf3b1/Rprd1b/Fmr1/Dhx36/Ccnb1/Mbnl1",271
"9","Positive","BP","GO:0016072","rRNA metabolic process","145/8863","215/23328",1.58578936899633e-18,1.11287173939787e-15,6.91070314488929e-16,"Pes1/Ddx56/Riok2/Ncl/Wdr18/Tsr1/Helb/Ddx49/Pop7/Rrp1b/Tsr2/Dkc1/Nol11/Shq1/Nat10/Exosc9/Mrto4/Srfbp1/Rrp36/Eif6/Dis3/Wdr74/Exosc10/Ftsj3/Wdr43/Rbfa/Mettl5/Ddx27/Nop14/Exosc4/Frg1/Rrp1/Npm1/Helq/Pop4/Exosc7/Ybey/Tbl3/Utp15/Utp23/Rpl26/Las1l/Rpusd2/Nob1/Prkdc/Ddx52/Dhx37/Wdr36/Trmt112/Esf1/Drosha/Wdr3/Riok3/Suv39h1/Sirt7/Utp14a/Mettl16/Rpp25/Utp20/Gtpbp4/Nop2/Kri1/Znhit3/Utp6/Wdr75/Rsl1d1/Mphosph10/Pa2g4/Gtf2h5/Utp18/Znhit6/Utp3/Ercc2/Ddx17/Bms1/Nol10/Wdr12/Nsa2/Rpp30/Ddx10/Mphosph6/Mdn1/Mak16/Chd7/Fdxacb1/Rpl7l1/Mettl15/Ddx18/Nsun3/Mrps11/Rexo4/Zcchc4/Ebna1bp2/Rpp38/Tfb2m/Exosc3/Rrp9/Rpusd4/Imp3/Rrp12/Nol9/Emg1/Ngdn/Exosc2/Nsun4/Pelo/Eri1/Nop10/Eri3/Rcl1/Rpl7/Utp14b/Ddx54/Pwp2/Pih1d2/Lyar/Pop5/Rpusd3/Mrm1/Wdr46/Sart1/Rrp15/Eri2/Abt1/Ddx51/Rpusd1/Tfb1m/Naf1/Fbl/Dcaf13/Heatr1/Ddx47/Urb1/Bysl/Nol8/Bop1/Exosc1/Nvl/Rpp40/Exosc6/Rnasel/Dimt1/Usp36/Imp4/Riok1",145
"10","Positive","BP","GO:0006399","tRNA metabolic process","119/8863","168/23328",4.89276353244798e-18,3.09026944709414e-15,1.91899336020012e-15,"Wars2/Pop7/Elp3/Farsb/Nat10/Exosc9/Eprs/Elac2/Tars/Dars/Dus4l/Mettl1/Tarbp1/Farsa/Exosc10/Wars/Dars2/Dus1l/Tars2/Tsen2/Pop4/Yars/Exosc7/Kars/Aarsd1/Nars2/Clp1/Trmt6/Elp2/Pus1/Tarsl2/Trmt112/Dalrd3/Ssb/Rpp25/Tprkb/Vars/Dtwd1/Grsf1/Zbtb8os/Rpp14/Gars/Iars2/Sars2/Trub1/Hars/Cars2/Ankrd16/Mocs3/Mettl6/Adat2/2210016F16Rik/Aars2/Rpp30/Thumpd3/Pusl1/Rars/Gtpbp3/Lage3/Dus3l/Elp4/Nsun2/Cars/Trmt1/Ctu1/Alkbh8/Pars2/Thada/Osgepl1/Thumpd1/Dtd1/Rars2/Ddx1/Nsun3/Kti12/Aars/Ftsj1/Hars2/Adat1/Trmt61a/Mtfmt/Trmu/Trit1/Trmt12/Rpp38/Mettl2/Exosc3/Rpusd4/Trdmt1/Nars/Qars/Bcdin3d/Exosc2/Nsun4/Cdk5rap1/Sepsecs/Gatc/Pop1/Pus10/Dph3/Mars2/Tsen54/Pop5/Wdr4/Ears2/Alkbh1/Tyw3/Thg1l/Tyw1/Mto1/Lcmt2/Lars/Thumpd2/Rpp40/Trnt1/Ptcd1/Trmt11/Polr3k/Qtrt1",119
