"","gene1","gene2","correlation","pvalue"
"4922","Stip1","Stip1",1,0
"3148","Stip1","Isyna1",0.611464068650072,5.38877472292501e-15
"21101","Stip1","Tmem41b",0.595402211823629,4.0732804432509e-14
"15555","Stip1","Bhmt",0.587623638934028,1.04254492713442e-13
"19422","Stip1","Pmm1",0.586092510276336,1.25071409310844e-13
"16544","Stip1","Gulo",0.575009977661522,4.54238789903888e-13
"15067","Stip1","Tat",0.571503820929148,6.76316862407522e-13
"21556","Stip1","Psat1",0.538473956714865,2.30623996120156e-11
"846","Stip1","Ppm1a",0.537697472622345,2.49435981930018e-11
"12927","Stip1","Spic",0.518651988590509,1.60592627683762e-10
"15021","Stip1","Gja1",0.511234969408298,3.21639438103634e-10
"10285","Stip1","Sat1",0.508286338024864,4.21976430575246e-10
"5064","Stip1","Bach1",0.49248682533338,1.7312184603697e-09
"11098","Stip1","Cdc5l",0.475322885187292,7.41259450591755e-09
"2549","Stip1","Nanog",0.4736951457225,8.47389317580844e-09
"5820","Stip1","Zfp57",0.469070398385886,1.23466200825325e-08
"4259","Stip1","Ak4",0.468216370011647,1.32272688727632e-08
"13359","Stip1","Rrm2",0.46676470994378,1.48642709606586e-08
"13687","Stip1","Nucb2",0.460466953657665,2.45059548418543e-08
"4227","Stip1","Nt5c3l",0.456420135292275,3.36123841931082e-08
"19801","Stip1","Rcc2",0.454030159362173,4.04307292179363e-08
"16622","Stip1","Dppa2",0.453755913877098,4.12930115278923e-08
"8647","Stip1","Sfn",0.451630000726832,4.86014969982393e-08
"14436","Stip1","Tmem106a",0.450500531710212,5.297301950325e-08
"12063","Stip1","Tuba4a",0.449705451691087,5.62735888405243e-08
"14564","Stip1","Gm13102",0.447809669644725,6.49569023254444e-08
"5255","Stip1","Pgd",0.445916459638477,7.49004698398592e-08
"20975","Stip1","Vcp",0.443164245653651,9.19906829866801e-08
"16780","Stip1","Pes1",0.439311013759501,1.22290947646743e-07
"13514","Stip1","Rnd3",0.437925420233902,1.35358515075993e-07
"1058","Stip1","Gm3286.1",0.434295131267137,1.7622992351168e-07
"19965","Stip1","Spns1",0.434024608795714,1.79707252755317e-07
"13884","Stip1","Cul5",0.433119230217416,1.91828264384316e-07
"19020","Stip1","Snx6",0.431652835636878,2.13132703430492e-07
"1819","Stip1","Zc3hc1",0.429678396320373,2.4541100776655e-07
"10014","Stip1","Hdac1",0.428283680114061,2.70970534872064e-07
"16515","Stip1","Akap12",0.427138496665556,2.93837844638237e-07
"1109","Stip1","Pecam1",0.427084384314445,2.94962713630551e-07
"2958","Stip1","Rnf130",0.425631660898274,3.26744237875678e-07
